Year,Month,Fieldwork,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,
2001,Jun,21-26,,MORI,,25,,49,,19,,-24,
,Jul,13-14,,ICM,GU,30,,46,,18,,-16,
,Jul,19-23,26,MORI,TT,25,0,52,3,17,-2,-27,-3
,Jul,20-5,6,ICM,R4,29,-1,53,7,14,-4,-24,-8
,Aug,9-14,10,MORI,GMB,23,-2,53,1,19,2,-30,-3
,Aug,17-19,21,ICM,GU,30,1,46,-7,17,3,-16,8
,Aug,23-28,30,MORI,TT,25,2,53,0,16,-3,-28,2
,Sept,14-16,,ICM,GU,29,-1,46,0,20,3,-17,-1
,Sept,20-25,28,MORI,TT,27,2,53,0,15,-1,-26,2
,Oct,18-22,25,MORI,TT,25,-2,57,4,13,-2,-32,-6
,Oct,19-20,,ICM,GU,29,0,47,1,19,-1,-18,-1
,Nov,16-18,,ICM,GU,29,0,46,-1,19,0,-17,1
,Nov,22-27,28,MORI,TT,25,0,56,-1,15,2,-31,1
,Dec,14-16,18,ICM,GU,29,0,44,-2,20,1,-15,2
2002,Jan,11-12,13,YouGov,MoS,30,,42,,21,,-12,
,Jan,18-20,22,ICM,GU,30,1,45,1,19,-1,-15,0
,Jan,24-28,31,MORI,TT,27,2,51,-5,16,1,-24,7
,Feb,15-17,19,ICM,GU,30,0,47,2,18,-1,-17,-2
,Feb,21-26,28,MORI,TT,28,1,51,0,16,0,-23,1
,Mar,5-7,10,YouGov,MoS,31,1,42,0,20,-1,-11,1
,Mar,15-17,21,ICM,GU,34,4,43,-4,17,-1,-9,8
,Mar,21-26,10,MORI,,28,0,47,-4,19,3,-19,4
,Apr,18-22,25,MORI,,27,-1,50,3,16,-3,-23,-4
,Apr,18-19,21,ICM,STel,32,-2,45,2,17,0,-13,-4
,Apr,20-21,23,ICM,GU,29,-3,45,0,18,1,-16,3
,Apr,24-26,28,YouGov,ST,32,1,44,2,18,-2,-12,-1
,May,,,ICM,,35,6,41,-4,20,2,-6,10
,May,17-19,21,ICM,GU,34,-1,42,1,19,-1,-8,-2
,May,23-24,26,YouGov,ST,32,0,40,-4,21,3,-8,4
,May,23-28,31,MORI,,30,3,46,-4,17,1,-16,7
,May,29-31,2,YouGov,ST,32,0,40,0,20,-1,-8,0
,Jun,7-8,9,YouGov,MoS,33,1,39,-1,21,1,-6,2
,Jun,17-19,23,YouGov,MoS,33,0,39,0,20,-1,-6,0
,Jun,20-24,28,MORI,TT,29,-1,48,2,17,0,-19,-3
,Jun,21,23,YouGov,ST,35,2,38,-1,20,0,-3,3
,Jun,21-23,25,ICM,GU,32,-2,42,0,20,1,-10,-2
,Jun,21-24,27,NOP,DT,31,,41,,19,,-10,
,Jul,4-5,7,YouGov,MoS,34,-1,39,1,20,0,-5,-2
,Jul,18-22,26,MORI,,27,-2,48,0,18,1,-21,-2
,Jul,25-26,28,YouGov,ST,34,0,40,1,20,0,-6,-1
,Jul,26-27,30,ICM,GU,33,1,42,0,20,0,-9,1
,Aug,1-2,4,YouGov,MoS,34,0,40,0,20,0,-6,0
,Aug,21-23,25,YouGov,ST,33,-1,40,0,20,0,-7,-1
,Aug,22-28,,MORI,,25,-2,53,5,16,-2,-28,-7
,Aug,23-25,28,ICM,GU,32,-1,41,-1,21,1,-9,0
,Aug,29-30,1,YouGov,ST,33,0,39,-1,21,1,-6,1
,Sep,19-24,,MORI,,27,2,53,0,15,-1,-26,2
,Sep,20-22,24,ICM,GU,34,2,39,-2,20,-1,-5,4
,Sep,25-27,29,YouGov,ST,32,-1,40,1,22,1,-8,-2
,Sep,27-30,4,NOP,DT,28,-3,41,0,21,2,-13,-3
,Oct,1-3,7,YouGov,DT,31,-1,40,0,22,0,-9,-1
,Oct,2-3,6,ICM,NoW,27,-7,42,3,23,3,-15,-10
,Oct,11-12,13,YouGov,MoS,33,2,40,0,20,-2,-7,2
,Oct,17-21,,MORI,,25,-2,57,4,13,-2,-32,-6
,Oct,18-20,22,ICM,GU,32,5,43,1,20,-3,-11,4
,Oct,23-25,27,YouGov,ST,31,-2,40,0,22,1,-9,-2
,Oct,31-1,3,YouGov,MoS,31,0,40,0,21,-1,-9,0
,Nov,6-7,10,ICM,STel,29,-3,43,0,21,1,-14,-3
,Nov,,10,ICM,NoW,29,0,,,,,,
,Nov,14-16,17,YouGov,ST,31,0,41,1,21,0,-10,-1
,Nov,14-19,25,MORI,FT,30,3,42,-6,21,3,-12,9
,Nov,15-17,19,ICM,GU,29,0,42,,22,,-13,
,Nov,20-22,24,YouGov,ST,30,-1,39,-2,23,2,-9,1
,Nov,28-29,1,YouGov,MoS,31,1,40,1,21,-2,-9,0
,Dec,5-6,8,YouGov,MoS,31,0,38,-2,23,2,-7,2
,Dec,13-15,17,ICM,GU,27,-2,41,-1,23,1,-14,-3
,Dec,12-17,28,MORI,FT,33,3,37,-5,24,3,-4,-8
,Dec,19-20,22,YouGov,ST,32,1,39,1,21,-2,-7,0
2003,Jan,3-4,6,Live St,TT,32,,37,,25,,-5,
,Jan,3-4,5,YouGov,MoS,31,-1,38,-1,23,2,-7,0
,Jan,16-17,19,YouGov,MoS,31,0,37,-1,25,2,-6,1
,Jan,17-19,22,ICM,GU,30,3,43,2,21,-2,-13,1
,Jan,23-24,26,YouGov,ST,31,0,37,0,24,-1,-6,0
,Jan,23-27,,MORI,,31,-2,40,3,22,-2,-9,-5
,Jan,28-30,31,YouGov,DT,32,1,36,-1,24,0,-4,2
,Feb,7-8,9,YouGov,MoS,32,0,37,1,24,0,-5,-1
,Feb,7-9,11,Populus,TT,34,,35,,25,,-1,
,Feb,14-16,18,ICM,GU,31,1,39,-4,22,1,-8,5
,Feb,17-18,19,YouGov,DT,33,1,34,-3,26,2,-1,4
,Feb,20-21,23,YouGov,ST,33,0,35,1,25,-1,-2,-1
,Feb,20-25,3,MORI,FT,29,-2,41,1,22,0,-12,-3
,Feb,25-26,5,YouGov,DT,31,-2,35,0,26,1,-4,-2
,Mar,7-9,12,Populus,TT,34,0,34,-1,24,-1,0,1
,Mar,14-16,18,ICM,GU,32,1,38,-1,24,2,-6,2
,Mar,20-24,28,MORI,,29,0,43,2,21,-1,-14,-2
,Mar,26-27,28,YouGov,DT,33,2,40,5,20,-6,-7,-3
,Apr,3-4,,YouGov,,,,,,,,,
,Apr,10-11,13,YouGov,MoS,33,0,41,1,18,-2,-8,-1
,Apr,10-12,14,Populus,TT,29,-5,41,7,22,-2,-12,-12
,Apr,17-19,22,ICM,GU,30,-2,42,4,21,-3,-12,-6
,Apr,22-24,28,YouGov,DT,32,-1,40,-1,21,3,-8,0
,Apr,24-28,30,MORI,,29,0,43,0,21,0,-14,0
,May,2-4,6,Populus,TT,34,5,36,-5,22,0,-2,10
,May,16-18,21,ICM,GU,29,-1,41,-1,21,0,-12,0
,May,22-28,8,MORI,,31,2,39,-4,22,1,-8,6
,May,28-29,30,YouGov,DT,36,4,37,-3,20,-1,-1,7
,Jun,13-15,17,Populus,TT,33,-1,37,1,20,-2,-4,-2
,Jun,19-20,22,YouGov,MoS,36,0,37,0,20,0,-1,0
,Jun,19-24,,MORI,,32,1,41,2,19,-3,-9,-1
,Jun,20-22,24,ICM,GU,34,5,38,-3,21,0,-4,8
,Jun,24-26,27,YouGov,DT,37,1,35,-2,21,1,2,3
,Jun,26-27,29,MORI,NoW,35,,35,,19,,0,9
,Jul,4-6,8,Populus,TT,34,1,36,-1,21,1,-2,2
,Jul,7-8,22,MORI,Sun,35,0,38,3,19,0,-3,-3
,Jul,17-22,4,MORI,,38,6,35,-6,21,2,3,12
,Jul,18-20,22,ICM,GU,34,0,36,-2,22,1,-2,2
,Jul,22-24,25,YouGov,DT,37,0,34,-1,22,1,3,1
,Aug,1-3,5,Populus,TT,32,-2,34,-2,25,4,-2,0
,Aug,7-8,10,YouGov,MoS,38,1,34,0,21,-1,4,1
,Aug,15-17,19,ICM,GU,32,-2,37,1,22,0,-5,-3
,Aug,26-28,29,YouGov,DT,37,-1,35,1,20,-1,2,-2
,Aug,28-2,10,MORI,FT,34,-4,36,1,24,3,-2,-5
,Sep,4-5,7,YouGov,MoS,37,0,36,1,18,-2,1,-1
,Sep,5-6,8,Populus,TT,34,2,39,5,19,-6,-5,-3
,Sep,11-16,22,MORI,FT,31,-3,40,4,21,-3,-9,-7
,Sep,19-21,23,ICM,GU,30,-2,35,-2,28,6,-5,0
,Sep,23-25,27,YouGov,DT,32,-5,31,-5,30,12,1,0
,Sep,24-26,28,ICM,NoW,31,1,31,-4,31,3,0,5
,Sep,25-26,28,YouGov,ST,33,1,30,-1,30,0,3,2
,Sep,26-28,1,NOP,Ind,29,,38,,27,,-9,
,Sep,30-2,6,YouGov,DT/Sky,33,0,33,-2,28,2,0,1
,Oct,2-3,5,YouGov,MoS,33,0,34,1,26,-2,-1,-2
,Oct,3-5,6,Populus,TT,31,-3,36,-3,26,7,-5,0
,Oct,10-11,12,YouGov,MoS,38,5,33,-1,22,-4,5,5
,Oct,16-18,19,YouGov,MoS,34,-4,34,1,25,3,0,-5
,Oct,17-19,21,ICM,GU,33,2,38,7,21,-10,-5,-5
,Oct,23-28,1,MORI,FT,35,4,38,-2,21,0,-3,6
,Oct,30-31,1,YouGov,DT,34,0,36,2,23,-2,-2,-2
,Oct,31-1,4,MORI,Ind,32,-3,38,3,25,6,-6,-6
,Nov,6,9,ICM,NoW,31,-2,39,1,22,1,-8,-3
,Nov,7-8,9,YouGov,MoS,34,0,36,0,24,1,-2,0
,Nov,7-9,10,Populus,TT,31,0,36,0,25,-1,-5,0
,Nov,13-14,16,YouGov,ST,36,2,39,3,20,-4,-3,-1
,Nov,14-16,19,ICM,GU,33,2,38,-1,21,1,-5,3
,Nov,20-25,1,MORI,,35,0,36,-2,22,1,-1,2
,Nov,25-27,28,YouGov,DT,38,2,36,-3,19,-1,2,5
,Dec,5-6,7,YouGov,MoS,36,-2,36,0,23,4,0,-2
,Dec,5-7,9,Populus,TT,33,2,36,0,22,-3,-3,2
,Dec,11-17,20,MORI,FT,31,-4,40,4,22,0,-9,-8
,Dec,12-14,17,ICM,GU,33,0,38,0,22,1,-5,0
,Dec,16-17,20,YouGov,DT,39,3,38,2,18,-5,1,1
2004,Jan,2-4,6,Populus,TT,35,2,40,4,18,-4,-5,-2
,Jan,16-18,20,ICM,GU,34,1,39,1,20,-2,-5,0
,Jan,15-20,21,MORI,,35,4,37,-3,21,-1,-2,7
,Jan,20-22,23,YouGov,DT,40,1,35,-3,19,1,5,4
,Jan,,31,YouGov,DT,39,-1,36,1,19,0,3,-2
,Feb,4-5,7,NOP,Ind,36,,35,,24,,1,
,Feb,4-5,8,ICM,NoW,34,0,34,-5,24,4,0,5
,Feb,6-8,10,Populus,TT,31,-4,36,-4,25,7,-5,0
,Feb,12-16,23,MORI,FT,35,0,36,-1,21,0,-1,1
,Feb,16-22,24,ICM,GU,34,0,36,2,21,-3,-2,-2
,Feb,24-26,28,YouGov,DT,39,0,34,-2,21,2,5,2
,Mar,5-7,,Populus,TT,34,3,36,0,22,-3,-2,3
,Mar,10-11,16,ICM,GU,35,1,37,1,21,0,-2,0
,Mar,11-16,19,MORI,,35,0,35,-1,23,2,0,1
,Mar,23-25,29,YouGov,DT,39,0,34,0,20,-1,5,0
,Apr,,4,YouGov,MoS,38,-1,35,1,20,0,3,-2
,Apr,2-4,6,Populus,TT,34,0,34,-2,22,0,0,2
,Apr,15-19,22,MORI,,34,-1,36,1,22,-1,-2,-2
,Apr,16-18,20,ICM,GU,33,-2,38,1,22,1,-5,-3
,Apr,27-29,4,YouGov,DT,39,1,35,0,19,-1,4,1
,May,6-8,9,YouGov,MoS,40,1,36,1,18,-1,4,0
,May,7-9,11,Populus,TT,36,2,32,-2,22,0,4,4
