Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,
2005,May,19-23,19/05/2005,,MORI,First Tuesday,27,,,,,40,,,,,26,,,,,-13,,F2F
,May,19-23,19/05/2005,,MORI,FT,30,,,,,37,,,,,26,,,,,-7,,F2F
,May,24-26,24/05/2005,,YouGov,DT,31,,,,,38,,,,,23,,,,,-7,,Internet
,Jun,16-20,16/06/2005,7,MORI,Social Research Institute,29,-1,,,,42,5,,,,21,-5,,,,-13,-6,F2F
,Jun,17-19,17/06/2005,21,ICM,GU,31,,,,,38,,,,,23,,,,,-7,,Phone
,Jun,28-30,28/06/2005,4,YouGov,DT,33,2,,,,38,0,,,,20,-3,,,,-5,2,Internet
,Jul,14-18,14/07/2005,24,MORI,OB,28,-1,,,,41,-1,,,,25,4,,,,-13,0,F2F
,Jul,15-17,15/07/2005,19,ICM,GU,31,0,,,,39,1,,,,23,0,,,,-8,-1,Phone
,Jul,22-24,22/07/2005,27,Populus,TT,28,,,,,40,,,,,22,,,,,-12,,Phone
,Jul,26-28,26/07/2005,,YouGov,DT,31,-2,,,,40,2,,,,21,1,,,,-9,-4,Internet
,Aug,11-15,11/08/2005,,MORI,,31,3,,,,39,-2,,,,24,-1,,,,-8,5,F2F
,Aug,12-14,12/08/2005,22,ICM,GU,31,0,,,,38,-1,,,,22,-1,,,,-7,1,Phone
,Aug,19-24,19/08/2005,,YouGov,DT,33,2,,,,40,0,,,,20,-1,,,,-7,2,Internet
,Sep,2-4,02/09/2005,6,Populus,TT,35,7,,,,37,-3,,,,20,-2,,,,-2,10,Phone
,Sep,8-9,07/09/2005,11,YouGov,ST,32,-1,30,34,-4,37,-3,40,34,6,21,1,20,23,-3,-5,2,Internet
,Sep,16-17,16/09/2005,19,ICM,GU,31,0,,,,40,2,,,,21,-1,,,,-9,-2,Phone
,Sep,22-26,22/09/2005,,MORI,,29,-2,,,,39,0,,,,25,1,,,,-10,-2,F2F
,Sep,27-29,27/09/2005,3,YouGov,DT,32,0,30,34,-4,40,3,40,40,0,20,-1,21,18,3,-8,-3,Internet
,Oct,5-6,05/10/2005,9,ICM,NOTW,32,1,,,,38,-2,,,,22,1,,,,-6,3,Phone
,Oct,7-9,07/10/2005,11,Populus,TT,30,-5,,,,40,3,,,,21,1,,,,-10,-8,Phone
,Oct,15 ?,15/10/2005,,BPIX,,33,,,,,41,,,,,18,,,,,-8,,Internet
,Oct,19-20,19/10/2005,22,ICM,GU,33,1,,,,36,-2,,,,22,0,,,,-3,3,Phone
,Oct,25-27,25/10/2005,29,YouGov,DT,32,0,31,33,-2,40,0,40,41,-1,19,-1,20,18,2,-8,0,Internet
,Oct,20-25,20/10/2005,,MORI,,34,5,,,,40,1,,,,21,-4,,,,-6,4,F2F
,Nov,,02/11/2005,6,BPIX,MoS,35,2,,,,37,-4,,,,20,2,,,,-2,6,Internet
,Nov,2-3,02/11/2005,6,ICM,STel,33,0,,,,39,3,,,,21,-1,,,,-6,-3,Phone
,Nov,4-6,04/11/2005,8,Populus,TT,32,2,,,,40,0,,,,19,-2,,,,-8,2,Phone
,Nov,17-22,17/11/2005,26,MORI,Sun,32,-2,,,,42,2,,,,19,0,,,,-10,-4,F2F
,Nov,18-20,18/11/2005,22,ICM,GU,33,0,,,,38,-1,,,,19,-2,,,,-5,1,Phone
,Nov,22-24,22/11/2005,25,YouGov,DT,35,3,35,36,-1,37,-3,37,36,1,20,1,20,21,-1,-2,6,Internet
,Dec,5-6,05/12/2005,6,YouGov,Sky,36,1,33,39,-6,36,-1,38,34,4,18,-2,19,18,1,0,2,Internet
,Dec,6-8,06/12/2005,11,YouGov,ST,37,1,37,38,-1,36,0,36,37,-1,18,0,19,18,1,1,1,Internet
,Dec,7-8,07/12/2005,11,ICM,STel,37,4,,,,35,-3,,,,21,2,,,,2,7,Phone
,Dec,8-9,08/12/2005,11,BPIX,MoS,37,2,,,,38,1,,,,17,-2,,,,-1,1,Internet
,Dec,9-11,09/12/2005,13,Populus,TT,35,3,,,,38,-2,,,,19,0,,,,-3,5,Phone
,Dec,9-12,09/12/2005,18,MORI,OB,40,,,,,31,,,,,21,,,,,9,,Phone
,Dec,13-15,13/12/2005,16,YouGov,DT,38,1,34,41,-7,36,0,37,36,1,18,0,20,16,4,2,1,Internet
,Dec,15-18,15/12/2005,20,ICM,GU,37,0,,,,36,1,,,,21,0,,,,1,-1,Phone
2006,Jan,5-7,05/01/2006,8,BPIX,MoS,38,1,,,,38,0,,,,16,-1,,,,0,1,Internet
,Jan,6-8,06/01/2006,10,Populus,TT,36,1,,,,39,1,,,,16,-3,,,,-3,0,Phone
,Jan,11-12,11/01/2006,15,ICM,NOTW,39,2,,,,35,-1,,,,20,-1,,,,4,3,Phone
,Jan,12-17,12/01/2006,20,MORI,Sun,39,-1,,,,39,8,,,,15,-6,,,,0,-9,Phone
,Jan,19-23,19/01/2006,31,MORI,FT,40,8,,,,38,-4,,,,17,-2,,,,2,12,F2F
,Jan,20-22,20/01/2006,24,ICM,GU,37,-2,,,,36,1,,,,19,-1,,,,1,-3,Phone
,Jan,24-26,24/01/2006,27,YouGov,DT,39,1,36,41,-5,40,4,41,38,3,13,-5,14,13,1,-1,-3,
,Jan,26-28,26/01/2006,29,ICM,STel,37,0,,,,36,0,,,,18,-1,,,,1,0,Phone
,Feb,3-5,03/02/2006,7,Populus,TT,37,1,,,,36,-3,,,,18,2,,,,1,4,Phone
,Feb,9-10,09/02/2006,12,YouGov,ST,37,-2,34,40,-6,39,-1,40,37,3,15,2,16,14,2,-2,-1,Internet
,Feb,16-20,16/02/2006,24,MORI,Sun,35,-4,,,,38,-1,,,,20,5,,,,-3,-3,Phone
,Feb,17-19,17/02/2006,21,ICM,GU,37,0,,,,34,-2,,,,21,3,,,,3,2,Phone
,Feb,21-22,21/02/2006,24,YouGov,DT,38,1,37,39,-2,36,-3,36,36,0,18,3,17,18,-1,2,4,Internet
,Mar,3-4,03/03/2006,5,BPIX,MoS,39,1,,,,37,-1,,,,16,0,,,,2,2,Internet
,Mar,3-5,03/03/2006,7,Populus,TT,35,-2,,,,35,-1,,,,20,2,,,,0,-1,Phone
,Mar,10-12,10/03/2006,15,ICM,GU,34,-3,,,,37,3,,,,21,0,,,,-3,-6,Phone
,Mar,16-21,16/03/2006,,MORI,,34,-6,,,,39,1,,,,19,2,,,,-5,-7,F2F
,Mar,17-18,17/03/2006,19,YouGov,ST,38,1,37,39,-2,35,-1,37,33,4,19,1,18,20,-2,3,1,Internet
,Mar,17-18,17/03/2006,19,ICM,STel,33,-1,,,,37,0,,,,21,0,,,,-4,-1,Phone
,Mar,27-29,27/03/2006,31,YouGov,DT,36,-2,34,39,-5,36,1,38,35,3,18,-1,17,19,-2,0,-3,Internet
,Mar,31-2,31/03/2006,4,Populus,TT,34,-1,,,,36,1,,,,21,1,,,,-2,-2,Phone
,Apr,?-8,06/04/2006,9,BPIX,MoS,37,-2,,,,36,-1,,,,17,1,,,,1,-1,Internet
,Apr,5-6,05/04/2006,7,ICM,C4,35,2,,,,35,-2,,,,21,0,,,,0,4,Phone
,Apr,18-20,18/04/2006,21,YouGov,DT,33,-3,32,34,-2,35,-1,35,35,0,17,-1,16,18,-2,-2,-2,Internet
,Apr,20-22,20/04/2006,26,MORI,Sun,30,-5,,,,30,-8,,,,25,5,,,,0,3,Phone
,Apr,21-23,21/04/2006,25,ICM,GU,34,-1,,,,32,-3,,,,24,3,,,,2,-2,Phone
,Apr,27-28,27/04/2006,30,YouGov,ST,35,2,32,39,-7,32,-3,33,32,1,18,1,17,18,-1,3,5,Internet
,Apr,27-2,27/04/2006,4,MORI,FT,36,2,,,,32,-7,,,,21,2,,,,4,9,F2F
,Apr,?-29,28/04/2006,30,BPIX,MoS,35,-2,,,,32,-4,,,,19,2,,,,3,2,Internet
,May,5-7,05/05/2006,8,Populus,TT,38,4,,,,30,-6,,,,20,-1,,,,8,10,Phone
,May,8-9,08/05/2006,10,YouGov,DT,37,2,36,38,-2,31,-1,33,30,3,17,-1,17,17,0,6,3,Internet
,May,19-21,19/05/2006,24,ICM,GU,38,4,,,,34,2,,,,20,-4,,,,4,2,Phone
,May,23-25,23/05/2006,26,YouGov,DT,38,1,33,43,-10,32,1,36,28,8,16,-1,16,16,0,6,0,Internet
,May,25-30,25/05/2006,5,MORI,Sun,41,11,,,,31,1,,,,18,-7,,,,10,10,Phone
,Jun,2-3,02/06/2006,6,Populus,TT,37,-1,,,,34,4,,,,18,-2,,,,3,-5,Phone
,Jun,8-12,08/06/2006,18,MORI,OB,41,0,,,,34,3,,,,18,0,,,,7,-3,Phone
,Jun,16-18,16/06/2006,20,ICM,GU,37,-1,,,,32,-2,,,,21,1,,,,5,1,Phone
,Jun,20-26,20/06/2006,30,MORI,,36,0,,,,33,1,,,,21,0,,,,3,-1,F2F
,Jun,21-23,21/06/2006,26,YouGov,DT,39,1,38,41,-3,32,0,35,30,5,17,1,15,19,-4,7,1,Internet
,Jun,26-28,26/06/2006,30,YouGov,DT,39,0,36,42,-6,33,1,35,31,4,18,1,18,17,1,6,-1,Internet
,Jun,28-29,28/06/2006,2,ICM,STel,36,-1,,,,35,3,,,,18,-3,,,,1,-4,Phone
,Jul,6-8,06/07/2006,9,BPIX,MoS,41,6,,,,31,-1,,,,15,-4,,,,10,7,Internet
,Jul,7-9,07/07/2006,11,Populus,TT,36,-1,,,,34,0,,,,19,1,,,,2,-1,Phone
,Jul,20-24,20/07/2006,31,MORI,FT,36,0,,,,32,-1,,,,24,3,,,,4,-1,F2F
,Jul,21-23,21/07/2006,27,ICM,GU,39,3,,,,35,0,,,,17,-1,,,,4,3,Phone
,Jul,24-26,24/07/2006,28,YouGov,DT,38,-1,36,39,-3,33,0,32,34,-2,18,0,19,18,1,5,-1,Internet
,Aug,18-20,18/08/2006,22,ICM,GU,40,1,,,,31,-4,,,,22,5,,,,9,4,Phone
,Aug,22-24,22/08/2006,26,YouGov,DT,38,0,,,,31,-2,,,,18,0,,,,7,2,Internet
,Aug,31-6,31/08/2006,14,MORI,ST,35,-1,,,,36,4,,,,19,-5,,,,-1,-5,F2F
,Sep,1-3,01/09/2006,5,Populus,TT,36,0,,,,32,-2,,,,20,1,,,,4,2,Phone
,Sep,6-7,06/09/2006,8,YouGov,DT,40,2,40,40,0,32,0,32,32,0,17,-1,16,19,-3,8,2,Internet
,Sep,?-9,08/09/2006,10,BPIX,MoS,40,-1,,,,30,-1,,,,14,-1,,,,10,0,Internet
,Sep,13-14,13/09/2006,15,YouGov,Sun,38,-2,37,39,-2,31,-1,32,29,3,18,1,17,18,-1,7,-1,Internet
,Sep,13-14,13/09/2006,17,ICM,SMirror,37,-3,,,,33,2,,,,21,-1,,,,4,-5,Phone
,Sep,19-20,19/09/2006,22,ICM,GU,36,-1,,,,32,-1,,,,22,1,,,,4,0,Phone
,Sep,19-22,19/09/2006,25,YouGov,DT,38,0,36,41,-5,31,0,33,29,4,18,0,18,18,0,7,0,Internet
,Sep,21-22,21/09/2006,24,YouGov,ST,37,-1,34,39,-5,33,2,34,31,3,18,0,18,19,-1,4,-3,Internet
,Sep,27-29,27/09/2006,30,YouGov,DT,36,-1,35,36,-1,36,3,37,36,1,16,-2,16,16,0,0,-4,Internet
,Sep,28-30,28/09/2006,31,ICM,SMirror,36,0,,,,35,3,,,,19,-3,,,,1,-3,Phone
,Oct,4-5,04/10/2006,8,ICM,STel,38,2,,,,32,-3,,,,20,1,,,,6,5,Phone
,Oct,6-8,06/10/2006,10,Populus,TT,36,0,,,,35,3,,,,18,-2,,,,1,-3,Phone
,Oct,12-16,12/10/2006,23,MORI,FT,35,0,,,,37,1,,,,18,-1,,,,-2,-1,F2F
,Oct,20-22,20/10/2006,24,ComRes,IoS,38,,39,37,2,32,,29,34,-5,14,,14,15,-1,6,,Phone
,Oct,20-22,20/10/2006,25,ICM,GU,39,1,,,,29,-3,,,,22,2,,,,10,4,Phone
,Oct,24-26,24/10/2006,27,YouGov,DT,39,3,37,42,-5,32,-4,33,31,2,16,0,16,15,1,7,7,Internet
,Nov,3-5,03/11/2006,7,Populus,TT,36,0,,,,33,-2,,,,20,2,,,,3,2,Phone
,Nov,9-14,09/11/2006,26,MORI,OB,35,0,,,,33,-4,,,,20,2,,,,2,4,F2F
,Nov,17-19,17/11/2006,22,ICM,GU,37,-2,,,,32,3,,,,22,0,,,,5,-5,Phone
,Nov,24-26,24/11/2006,28,ComRes,Ind,34,-4,35,33,2,36,4,38,35,3,17,3,15,20,-5,-2,-8,Phone
,Nov,28-30,28/11/2006,1,YouGov,DT,37,-2,34,40,-6,32,0,33,32,1,16,0,16,17,-1,5,-2,Internet
,Nov,29-30,29/11/2006,3,ICM,NOTW,39,2,,,,31,-1,,,,20,-2,,,,8,3,Phone
,Dec,7-12,07/12/2006,,MORI,,37,2,,,,36,3,,,,18,-2,,,,1,-1,F2F
,Dec,8-10,08/12/2006,12,Populus,TT,34,-2,,,,33,0,,,,19,-1,,,,1,-2,Phone
,Dec,15-17,15/12/2006,20,ICM,GU,40,1,,,,32,1,,,,18,-2,,,,8,0,Phone
,Dec,18-20,18/12/2006,22,YouGov,DT,37,0,35,40,-5,33,1,33,33,0,17,1,17,17,0,4,-1,Internet
,Dec,19-20,19/12/2006,28,ComRes,Ind,36,2,35,36,-1,37,1,35,38,-3,14,-3,13,15,-2,-1,1,Phone
,Dec,20-22,20/12/2006,24,YouGov,ST,37,0,35,39,-4,32,-1,34,31,3,15,-2,16,15,1,5,1,Internet
2007,Jan,5-7,05/01/2007,9,Populus,TT,39,5,,,,32,-1,,,,18,-1,,,,7,6,Phone
,Jan,19-21,19/01/2007,23,ICM,GU,37,-3,,,,31,-1,,,,23,5,,,,6,-2,Phone
,Jan,19-29,19/01/2007,2,MORI,,39,2,,,,35,-1,,,,19,1,,,,4,3,F2F
,Jan,22-24,22/01/2007,29,YouGov,DT,38,1,36,40,-4,31,-1,33,29,4,18,3,16,20,-4,7,2,Internet
,Jan,26-28,26/01/2007,30,ComRes,Ind,34,-2,39,30,9,29,-8,27,31,-4,21,7,18,24,-6,5,6,Phone
,Feb,2-4,02/02/2007,6,Populus,TT,36,-3,,,,33,1,,,,19,1,,,,3,-4,Phone
,Feb,8-9,08/02/2007,11,YouGov,ST,37,-1,36,37,-1,32,1,31,32,-1,18,0,16,19,-3,5,-2,Internet
,Feb,16-18,16/02/2007,20,ICM,GU,40,3,,,,31,0,,,,19,-4,,,,9,3,Phone
,Feb,19-21,19/02/2007,23,YouGov,DT,37,0,35,40,-5,32,0,34,30,4,17,-1,15,19,-4,5,0,Internet
,Feb,23-25,23/02/2007,27,ComRes,Ind,40,6,40,40,0,29,0,30,28,2,17,-4,14,21,-7,11,6,Phone
,Mar,2-4,02/03/2007,5,Populus,TT,38,2,,,,30,-3,,,,18,-1,,,,8,5,Phone
,Mar,7-8,07/03/2007,11,ICM,SMirror,40,0,,,,29,-2,,,,21,2,,,,11,2,Phone
,Mar,9-15,09/03/2007,28,MORI,Capibus,41,2,,,,33,-2,,,,17,-2,,,,8,4,F2F
,Mar,15-16,15/03/2007,18,YouGov,ST,38,1,37,39,-2,32,0,30,33,-3,16,-1,16,17,-1,6,1,Internet
,Mar,15-17,15/03/2007,18,BPIX,MoS,,,,,,,,,,,,,,,,,,Internet
,Mar,16-18,16/03/2007,20,ICM,GU,41,1,,,,31,2,,,,18,-3,,,,10,-1,Phone
,Mar,16-19,16/03/2007,,BPIX,Ob,,,,,,,,,,,,,,,,11,,Internet
,Mar,21-22,21/03/2007,23,YouGov,DT,39,1,38,40,-2,31,-1,32,31,1,19,0,15,17,-2,8,2,Internet
