Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
2010,May,12-13,12/05/2010,16,ComRes,IoS/SM,38,,34,,21,,4,,Phone,,,,
,May,12-13,12/05/2010,16,ICM,STel,38,,33,,21,,5,,Phone,,,,
,May,13-14,13/05/2010,16,YouGov,ST,37,,34,,21,,3,,Internet,,,,
,May,14-16,14/05/2010,19,Angus RS,,,,,,,,,,Internet,,,,
,May,19,19/05/2010,20?,YouGov,Sun,,,,,,,,,Internet,,,,
,May,19-20,19/05/2010,,YouGov,,,,,,,,,,,,,,
,May,20-21,20/05/2010,23,YouGov,ST,39,2,32,-2,21,0,7,4,Internet,,,,
,May,21-25,21/05/2010,,Opinium,,38,,29,,21,,9,,Internet,,,,
,May,21-24,21/05/2010,25,Angus RS,,,,,,,,,,,,,,
,May,21-23,21/05/2010,25,ICM,Gu,39,1,32,-1,21,0,7,2,Phone,,,,
,May,27-28,27/05/2010,,YouGov,,,,,,,,,,Internet,,,,
,May,28-31,28/05/2010,2,ComRes,Ind,37,-1,33,-1,21,0,4,0,Phone,,,,
,Jun,1-9,01/06/2010,14,Harris,Metro,36,,30,,25,,6,,Internet,,,,
,Jun,3-4,03/06/2010,,YouGov,,,,,,,,,,Internet,,,,
,Jun,4-7,04/06/2010,,Opinium,,42,4,28,-1,19,-2,14,5,Internet,,,,
,Jun,8,08/06/2010,,YouGov,Sun,,,,,,,,,Internet,,,,
,Jun,8-9,08/06/2010,,YouGov,Sun,,,,,,,,,Internet,,,,
,Jun,10,10/06/2010,,YouGov,Sun,,,,,,,,,Internet,,,,
,Jun,10-11,10/06/2010,13,BPIX,MoS,39,,32,,19,,7,,Internet,,,,
,Jun,10-11,10/06/2010,13,YouGov,ST,40,1,32,0,18,-3,8,1,Internet,,,,
,Jun,13-14,13/06/2010,,YouGov,Sun,,,,,,,,,Internet,,,,
,Jun,14-15,14/06/2010,,YouGov,Sun,,,,,,,,,Internet,,,,
,Jun,16-17,16/06/2010,20,ComRes,IoS ,36,-1,30,-3,23,2,6,2,Phone,,,,
,Jun,18-22,18/06/2010,,Opinium,,40,-2,31,3,19,0,9,-5,Internet,,,,
,Jun,18-20,18/06/2010,21,MORI,Reuters,39,,31,,19,,8,,Phone,Certain to vote,,,
,Jun,18-20,18/06/2010,22,ICM,Gu,39,0,31,-1,21,0,8,1,Phone,,,,
,Jun,17-18,17/06/2010,,YouGov,ST,39,-1,34,2,19,1,5,-1,Internet,,,,
,Jun,20-21,20/06/2010,22,YouGov,Sun,41,2,33,-1,18,-1,8,3,Internet,,,,
,Jun,21-22,21/06/2010,,YouGov,Sun,41,0,37,4,15,-3,4,-4,Internet,,,,
,Jun,22-23,22/06/2010,24,YouGov,Sun,42,1,34,-3,17,2,8,4,Internet,,,,
,Jun,22-23,22/06/2010,27,Populus,ST,39,,33,,18,,6,,Phone,,,,
,Jun,23-24,23/06/2010,27,ICM,STel,41,2,35,4,16,-5,6,-2,Phone,,,,
,Jun,23-24,23/06/2010,,YouGov,Sun,43,2,34,-1,17,1,9,3,Internet,,,,
,Jun,24-25,24/06/2010,27,YouGov,ST,43,0,36,2,16,-1,7,-2,Internet,,,,
,Jun,25-27,25/06/2010,29,ComRes,Ind,40,4,31,1,18,-5,9,3,Phone,,,,
,Jun,27-28,27/06/2010,,YouGov,Sun,42,-1,35,-1,16,0,7,0,Internet,,,,
,Jun,28-29,28/06/2010,,YouGov,Sun,42,0,36,1,15,-1,6,-1,Internet,,,,
,Jun,29-30,29/06/2010,,YouGov,Sun,42,0,36,0,15,0,6,0,Internet,,,,
,Jun,30-1,30/06/2010,,YouGov,,,,,,,,,,,,,,
,Jun,23-25,23/06/2010,30,Angus RS,,,,,,,,,,,,,,
,Jul,1-2,01/07/2010,4,YouGov,ST,41,-1,36,0,16,1,5,-1,Internet,,,,
