Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
2015,May,8-9,08/05/2015,10,Survation,MoS,40,,31,,6,,12,,3,,9,,Internet
,May,14-15,14/05/2015,,YouGov,,,,,,,,,,,,,,Internet
,May,21-22,21/05/2015,,YouGov,,,,,,,,,,,,,,Internet
,May,25-26,25/05/2015,1,YouGov,Sun,41,,29,,7,,13,,4,,12,,Internet
,May,28-29,28/05/2015,31,YouGov,ST,,,,,,,,,,,,,Internet
,May,29-31,29/05/2015,4,ComRes,DM,41,,29,,8,,10,,5,,12,,Phone
,Jun,4-5,04/06/2015,7,YouGov,ST,,,,,,,,,,,,,Internet
,Jun,11-12,11/06/2015,14,YouGov,ST,,,,,,,,,,,,,Internet
,Jun,12-14,12/06/2015,16,ICM,Gu,37,,31,,8,,13,,5,,6,,Phone
,Jun,14-16,14/06/2015,18,Ipsos MORI,ES,39,,30,,9,,8,,6,,9,,Phone
,Jun,18-19,18/06/2015,21,YouGov,ST,,,,,,,,,,,,,Internet
,Jun,23-26,23/06/2015,,Opinium,,42,,31,,6,,12,,3,,11,,Internet
,Jun,25-26,25/06/2015,28,YouGov,ST,,,,,,,,,,,,,Internet
,Jun,26-28,26/06/2015,3,ComRes,DM,39,-2,27,-2,9,1,11,1,6,1,12,0,Phone
,Jun,26-6,26/06/2015,,Sky,,,,,,,,,,,,,,Internet
,Jul,2-3,02/07/2015,5,YouGov,ST,,,,,,,,,,,,,Internet
,Jul,9-10,09/07/2015,,YouGov,,,,,,,,,,,,,,Internet
,Jul,10-12,10/07/2015,14,ICM,GU,38,1,34,3,6,-2,13,0,4,-1,4,-2,Phone
,Jul,18-20,18/07/2015,23,Ipsos MORI,ES,37,-2,31,1,10,1,9,1,8,2,6,-3,Phone
,Jul,23-24,23/07/2015,26,YouGov,ST,,,,,,,,,,,,,Internet
,Jul,24-26,24/07/2015,31,ComRes,DM,40,1,28,1,7,-2,10,-1,5,-1,12,0,Phone
,Aug,7-9,07/08/2015,11,ICM,Gu,40,,31,,7,,10,,4,,9,,Phone
,Aug,12-13,12/08/2015,14,Survation,TSSA,38,-2,33,2,6,0,15,3,3,0,5,-4,Internet
,Aug,12-13,12/08/2015,15,ComRes,IoS/SM,40,,29,,8,,13,,4,,11,,Internet
,Aug,21-23,21/08/2015,25,ComRes,DM,42,2,28,0,8,1,9,-1,6,1,14,2,Phone
,Aug,21-24,21/08/2015,,Sky,,,,,,,,,,,,,,Internet
,Sep,3-4,03/09/2015,6,Survation,MoS,38,0,32,-1,6,0,13,-2,4,1,6,1,Internet
,Sep,11-13,11/09/2015,14,ICM,Gu,38,-2,32,1,8,1,13,3,3,-1,6,-3,Phone
,Sep,15-18,15/09/2015,20,Opinium,Ob,37,-5,32,1,6,,14,2,4,1,5,-6,Internet
,Sep,16-17,16/09/2015,19,ComRes,IoS/SM,42,2,30,1,7,-1,13,0,3,-1,12,1,Internet
,Sep,17-18,17/09/2015,20,YouGov,ST,39,,31,,6,,16,,3,,8,,Internet
,Sep,18-20,18/09/2015,,Sky,,,,,,,,,,,,,,Internet
,Sep,19-23,19/09/2015,24,Ipsos MORI,ES,39,2,34,3,9,-1,7,-2,4,-4,5,-2,Phone
,Sep,25-28,25/09/2015,30,ComRes,DM,39,-3,30,2,9,1,12,3,4,-2,9,-5,Phone
,Sep,29-30,29/09/2015,1,YouGov,Sun,37,-2,31,0,7,1,17,1,2,-1,6,-2,Internet
,Oct,9-11,09/10/2015,12,ICM,Gu,38,0,34,2,7,-1,11,-2,3,0,4,-2,Phone
,Oct,13-16,13/10/2015,17,Opinium,Ob,37,0,32,0,5,-1,15,1,4,0,5,0,Internet
,Oct,14-15,14/10/2015,17,ComRes,IoS/SM,42,0,29,-1,7,0,13,0,3,0,13,1,Internet
,Oct,16-19,16/10/2015,,Sky,,,,,,,,,,,,,,Internet
,Oct,17-19,17/10/2015,23,Ipsos MORI,ES,36,-3,32,-2,10,1,12,5,3,-1,4,-1,Phone
,Oct,22-27,22/10/2015,30,BMG,,37,,31,,6,,15,,5,,6,,Internet
,Oct,23-25,23/10/2015,30,ComRes,DM,38,-1,33,3,8,-1,10,-2,3,-1,5,-4,Phone
,Oct,26-27,26/10/2015,28,YouGov,,,,,,,,,,,,,,Internet
,Nov,6-9,06/11/2015,,Sky,,,,,,,,,,,,,,Internet
,Nov,11-17,11/11/2015,23,BMG,,37,0,30,-1,7,1,15,0,4,-1,7,1,Internet
,Nov,13-15,13/11/2015,18,ICM,Gu,39,1,33,-1,7,0,12,1,3,0,6,1,Phone
,Nov,14-17,14/11/2015,19,Ipsos MORI,ES,41,5,34,2,7,-3,7,-5,4,1,7,3,Phone
,Nov,16-17,16/11/2015,18,YouGov,TT,,,,,,,,,,,,,Internet
,Nov,16-17,16/11/2015,18,Survation,Leave.EU,37,,30,,6,,16,,3,,7,,Internet
,Nov,18-20,18/11/2015,22,ComRes,IoS/SM,42,0,27,-2,7,0,15,2,3,0,15,2,Internet
,Nov,20-22,20/11/2015,24,ComRes,DM,40,2,29,-4,8,0,11,1,3,0,11,6,Phone
,Nov,30-1,30/11/2015,2,YouGov,TT,41,4,30,-1,6,-1,16,-1,3,1,11,5,Internet
,Dec,9-11,09/12/2015,12,ComRes,IoS/SM,40,-2,29,2,7,0,16,1,3,0,11,-4,Internet
,Dec,11-13,11/12/2015,17,ComRes,DM,37,-3,33,4,7,-1,11,0,5,2,4,-7,Phone
,Dec,11-16,11/12/2015,,Sky,,,,,,,,,,,,,,Internet
,Dec,12-14,12/12/2015,16,Ipsos MORI,ES,38,-3,31,-3,9,2,9,2,6,2,7,0,Phone
,Dec,15-18,15/12/2015,18,Opinium,Ob,38,1,30,-2,5,0,16,1,5,1,8,3,Internet
,Dec,15-18,15/12/2015,18,Opinium,Ob,,,,,,,,,,,,,Internet
,Dec,17-18,17/12/2015,4,YouGov,TT,39,-2,29,-1,6,0,17,1,3,0,10,-1,Internet
,Dec,18-20,18/12/2015,21,ICM,Gu,39,0,34,1,7,0,10,-2,3,0,5,-1,Phone
2016,Jan,13-15,13/01/2016,16,ComRes,IoS/SM,40,0,29,0,7,0,16,0,3,0,11,0,Internet
,Jan,14-15,14/01/2016,19,YouGov,,,,,,,,,,,,,,Internet
,Jan,15-16,15/01/2016,17,Survation,MoS,37,0,30,0,7,1,16,0,3,0,7,0,Internet
