Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,
2017,Jun ,9-10,09/06/2017,11,YouGov,ST,,,,,,,,,,,,,,,,,Internet
,Jun ,10,10/06/2017,11,Survation,MoS,39,,45,,7,,3,,,,,,,,-6,,Internet
,Jun ,11-12,11/06/2017,15,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun ,15-16,15/06/2017,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun ,16-17,16/06/2017,19,Survation,GMB,41,,44,,6,,2,,1,,,,,,-3,,Phone
,Jun ,16-21,16/06/2017,25,Panelbase,ST,41,,46,,6,,2,,1,,,,,,-5,,Internet
,Jun ,21-22,21/06/2017,23,YouGov,TT,,,,,,,,,,,,,,,,,Internet
,Jun ,25-26,25/06/2017,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun ,27-29,27/06/2017,2,Opinium,Ob,39,,45,,5,,5,,2,,,,,,-6,,Internet
,Jun ,28-30,28/06/2017,2,Survation,MoS,41,0,40,-4,7,1,2,0,2,,,,,,1,4,Phone
,Jun ,28-30,28/06/2017,4,Survation,Daily Record, ,,,,,,,,,,,,,,,,Phone
,Jun ,30-3,30/06/2017,4,ICM,Gu,41,,43,,7,,3,,3,,,,,,-2,,Internet
,Jul,5-6,05/07/2017,7,YouGov,TT,38,,46,,6,,4,,1,,,,,,-8,,Internet
,Jul,10-11,10/07/2017,17,YouGov,TT,40,2,45,-1,7,1,2,,1,,,,,,-5,3,Internet
,Jul,11-14,11/07/2017,16,Opinium,Ob,41,2,43,-2,5,0,5,0,2,0,,,,,-2,4,Internet
,Jul,11-14,11/07/2017,,BMG,Ind,38,,41,,9,,6,,3,,,,,,,,Internet
,Jul,14-15,14/07/2017,16,Survation,MoS,39,0,41,-4,8,1,6,3,1,,,,,,-2,4,Internet
,Jul,14-16,14/07/2017,18,ICM,Gu,42,1,43,0,7,0,3,0,2,-1,,,,,-1,1,Internet
