Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,
2019,Dec,13-14,13/12/2019,17,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,14-16,14/12/2019,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,21-23,21/12/2019,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,28-30,28/12/2019,,YouGov,,,,,,,,,,,,,,,,Internet
2020,Jan,4-6,04/01/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,5-6,05/01/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,8-10,08/01/2020,13,BMG,Ind,44,,29,,11,,5,,4,,2,,15,,Internet
,Jan,11-13,11/01/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,15-17,15/01/2020,18,Opinium,Ob,47,,30,,9,,4,,3,,0,,17,,Internet
,Jan,18-20,18/01/2020,24,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,23-24,23/01/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,24-26,24/01/2020,28,YouGov,TT,49,,29,,10,,4,,2,,,,20,,Internet
,Jan,25-27,25/01/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,28-29,28/01/2020,,Ipsos,,,,,,,,,,,,,,,,Internet
,Jan,30-31,30/01/2020,31,Survation,,44,,33,,10,,3,,3,,,,11,,Internet
,Jan,31-2,31/01/2020,5,YouGov,TT,49,0,30,1,8,-2,5,1,2,0,,,19,-1,Internet
,Jan,31-3,31/01/2020,6,Ipsos,ES,47,,30,,11,,5,,1,,,,17,,Phone
,Feb,1-3,01/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,4-5,04/02/2020,6/3,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,4-7,04/02/2020,8,BMG,Ind,41,-3,29,0,11,0,8,3,3,-1,2,0,12,-3,Internet
,Feb,8-9,08/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,8-10,08/02/2020,14,YouGov,TT,48,-1,28,-2,10,2,6,1,2,0,,,20,1,Internet
,Feb,12-14,12/02/2020,15,Opinium,Ob,47,0,32,2,7,-2,4,0,2,-1,,,15,-2,Internet
,Feb,12,12/02/2020,,R+W,,49,,30,,9,,5,,,,,,19,,Internet
,Feb,15-17,15/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,19-20,19/02/2020,23,Savanta ComRes,SE,47,,31,,9,,4,,3,,,,16,,Internet
,Feb,20-21,20/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,22-24,22/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,28-2,28/02/2020,12,Ipsos,,,,,,,,,,,,,,,,Internet
,Feb,29-2,29/02/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,3-6,03/03/2020,8,BMG,Ind,45,4,28,-1,11,0,,,,,,,17,5,Internet
,Mar,4-5,04/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,5-9,05/03/2020,11,Kantar,,50,,29,,11,,2,,1,,1,,21,,Internet
,Mar,7-9,07/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,12-13,12/03/2020,15,Opinium,Ob,49,2,32,0,6,-1,5,1,0,-2,2,,17,2,Internet
,Mar,12-13,12/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,13-16,13/03/2020,19,Ipsos,ES,52,5,30,0,9,-2,4,-1,0,-1,,,22,5,Phone
,Mar,14-16,14/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,17-18,17/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,21-23,21/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,22-23,22/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,23,23/03/2020,,R+W,,47,-2,29,-1,8,-1,5,0,,,,,18,-1,Internet
,Mar,24-26,24/03/2020,28,NCP,Bloomberg,54,,28,,7,,4,,2,,,,26,,Internet
,Mar,26-27,26/03/2020,29,Deltapoll,MoS,,,,,,,,,,,,,,,Internet
,Mar,26-28,26/03/2020,29,Opinium,Ob,54,5,28,-4,6,0,3,-2,0,0,,,26,9,Internet
,Mar,28-30,28/03/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,1-2,01/04/2020,3,YouGov,TT,52,4,28,0,8,-2,5,-1,1,-1,,,24,4,Internet
,Apr,1-2,01/04/2020,,R+W,,49,2,29,0,8,0,4,-1,,,,,20,2,Internet
,Apr,1-3,01/04/2020,5,Opinium,Ob,53,-1,30,2,7,1,3,0,0,0,1,,23,-3,Internet
,Apr,4-6,04/04/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,7-9,07/04/2020,11,BMG,Ind,46,1,29,1,10,-1,6,,2,,,,17,0,Internet
,Apr,7-9,07/04/2020,12,Opinium,Ob,55,2,29,-1,5,-2,4,1,0,0,1,0,26,3,Internet
,Apr,10-13,10/04/2020,16,Ipsos,,,,,,,,,,,,,,,,Internet
,Apr,10-14,10/04/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,11-13,11/04/2020,,YouGov,,,,,,,,,,,,,,,,Internet
