Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,
1950,Mar,,,Gallup,News Chron,43.5,,45.5,,8.5,,-2,
,Apr,,,Gallup,News Chron,45.5,2,47,1.5,7,-1.5,-1.5,0.5
,May,,,Gallup,News Chron,43.5,-2,46.5,-0.5,9.5,2.5,-3,-1.5
,Jun,,,Gallup,News Chron,43.5,0,46,-0.5,9,-0.5,-2.5,0.5
,Jul,,,Gallup,News Chron,42,-1.5,43.5,-2.5,11,2,-1.5,1
,Aug,,,Gallup,News Chron,44.5,2.5,46,2.5,8.5,-2.5,-1.5,0
,Sep,,,Gallup,News Chron,43,-1.5,45.5,-0.5,10,1.5,-2.5,-1
,Oct,,,Gallup,News Chron,42.5,-0.5,45,-0.5,10,0,-2.5,0
,Nov,,,Gallup,News Chron,,,,,,,,
,Dec,,,Gallup,News Chron,43,,44,,11.5,,-1,
1951,Jan,,,Gallup,News Chron,51,8,38,-6,10,-1.5,13,14
,Feb,,,Gallup,News Chron,51.5,0.5,37.5,-0.5,9.5,-0.5,14,1
,Mar,,,Gallup,News Chron,51,-0.5,36.5,-1,10.5,1,14.5,0.5
,Apr,,,Gallup,News Chron,50.5,-0.5,38.5,2,9,-1.5,12,-2.5
,May,,,Gallup,News Chron,49,-1.5,40,1.5,9.5,0.5,9,-3
,Jun,,,Gallup,News Chron,48,-1,41,1,10,0.5,7,-2
,Jul,,,Gallup,News Chron,49,1,39,-2,10.5,0.5,10,3
,Aug,,,Gallup,News Chron,50.5,1.5,38,-1,10.5,0,12.5,2.5
,Sep,26,,Gallup,News Chron,52,1.5,41,3,6.5,-4,11,-1.5
,Oct,3,,Gallup,News Chron,50.5,-1.5,43.5,2.5,5.5,-1,7,-4
,Oct,10,,Gallup,News Chron,50.5,0,44,0.5,4.5,-1,6.5,-4.5
,,17,,Gallup,News Chron,50,-0.5,45.5,1.5,4.5,0,4.5,-2.5
,,19,,Gallup,,50,0,46.5,1,3,-1.5,3.5,-1
,,19,,Research Serv Ltd,Daily Graphic,50,,43,,6.7,,7,
,,19-23,,,DE,50,,46,,3.5,,4,
,,22,,Gallup,News Chron,49.5,,47,,3,,2.5,
