Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,SDP,,Green,,Con lead,,
1987,Jun,24-29?,29,NOP,,42,,33,,23,,,,,,9,,
,Jun,25-1,5,MORI,ST,49,,31,,17,,,,,,18,7,
,Jul,?-6,,NOP,,49,7,31,-2,18,-5,,,,,18,9,
,Jul,8-13,19,Gallup,DT,44.5,,33,,20.5,,,,,,11.5,4.5,
,Jul,16,19,Harris,OB,48,,33,,17,,,,,,15,5,
,Jul,21-29,2,MORI,ST,49,0,33,2,17,0,,,,,16,-2,
,Aug,29-3,,NOP,,49,0,33,2,16,-2,,,,,16,-2,
,Aug,12-17,23,Gallup,DT,45.5,1,35.5,2.5,17.5,-3,,,,,10,-1.5,
,Aug,19-24,,NOP,,48,-1,33,0,17,1,,,,,15,-1,
,Aug,21-26,30,MORI,ST,48,-1,36,3,14,-3,,,,,12,-4,
,Sep,?-7,,NOP,,53,5,29,-4,15,-2,,,,,24,9,
,Sep,3-7,13,Gallup,DT,44,-1.5,33,-2.5,20,2.5,,,,,11,1,
,Sep,12-20,27,Harris,OB,47,-1,35,2,16,-1,,,,,12,-3,
,Sep,16-21,27,Gallup,STel,48,4,35.5,2.5,14,-6,,,,,12.5,1.5,
,Sep,23-28,,NOP,,50,-3,34,5,13,-2,,,,,16,-8,
,Sep,24-30,4,MORI,ST,49,1,36,0,12,-2,,,,,13,1,
,Oct,?-5,,NOP,,51,1,31,-3,15,2,,,,,20,4,
,Oct,9-13,15,Marplan,GU,45,,39,,13,,,,,,6,,
,Oct,14-19,22,Gallup,DT,52,4,31.5,-4,13.5,-0.5,,,,,20.5,8,
,Oct,19,25,MORI,ST,50,1,34,-2,14,2,,,,,16,3,
,Oct,21-26,1,MORI,ST,47,-3,37,3,14,0,,,,,10,-6,
,Oct,28-3,,NOP,,45,-6,36,5,15,0,,,,,9,-11,
,Nov,?-9,,NOP,,48,3,35,-1,14,-1,,,,,13,4,
,Nov,11-16,19,Gallup,DT,46.5,-5.5,33,1.5,17,3.5,,,,,13.5,-7,
,Nov,19-25,29,MORI,ST,50,3,38,1,11,-3,,,,,12,2,
,Nov,25-30,,NOP,,49,1,34,-1,15,1,,,,,15,2,
,Dec,?-7,,NOP,,47,-2,35,1,14,-1,,,,,12,-3,
,Dec,2-7,13,Gallup,DT,46.5,0,34.5,1.5,16,-1,,,,,12,-1.5,
,Dec,4-8,9,Marplan,GU,47,2,37,-2,13,0,,,,,10,4,
,Dec,9-14,,NOP,,47,0,35,0,15,1,,,,,12,0,
,Dec,29-30,3,MORI,ST,48,-2,36,-2,15,4,,,,,12,0,
1988,Jan,6-11,,NOP,,47,0,35,0,16,1,,,,,12,0,
,Jan,7,10,Marplan,SE,45,-2,40,3,8,-5,,,,,5,-5,
,Jan,7-11,12,Marplan,GU,42,-3,40,0,17,9,,,,,2,-3,
,Jan,13-18,20,Gallup,DT,45.5,-1,37,2.5,15,1,,,,,8.5,-3,
,Jan,22-26,31,MORI,ST,50,2,36,0,12,-3,,,,,14,2,
,Feb,3-8,,NOP,,45,-2,37,2,14,-2,,,,,8,-4,
,Feb,5-9,15,Marplan,GU,45,3,41,1,8,,4,,,,4,2,
,Feb,11-15,17,Gallup,DT,46,0.5,36,-1,15,,,,,,10,1.5,
,Feb,12-14,,ASL,,45,,41,,11,,,,,,4,,Phone
,Feb,24-28,29,Harris,GMB,44,,43,,12,,,,,,1,,
,Feb,26-1,6,MORI,ST,46,-4,38,2,14,2,,,,,8,-6,
,Mar,2-3,6,Harris,OB,47,3,36,-7,12,,2,,,,11,10,
,Mar,4-8,9,Marplan,GU,43,-2,42,1,14,2,,,,,1,-3,
,Mar,11-13,,ASL,,45,0,40,-1,11,0,,,,,5,1,Phone
,Mar,,20,MORI,,46,0,39,1,6,,7,,,,7,1,
,Mar,17-21,25,Gallup,DT,42,-4,36.5,0.5,13,,6.5,,,,5.5,-4.5,
,Mar,23-24,27,Harris,OB,46,-1,39,3,11,-1,1,-1,,,7,-4,
,Mar,24-28,3,MORI,ST,46,0,37,-2,8,2,6,-1,,,9,2,
,Apr,6-11,,NOP,,45,0,36,-1,15,1,,,,,9,1,
,Apr,8-12,13,Marplan,GU,43,0,42,0,8,,5,0,,,1,,
,Apr,13-18,21,Gallup,DT,40.5,-1.5,41.5,5,11,-2,4,-2,,,-1,-6.5,
,Apr,20-21,24,Harris,OB,44,-2,39,0,10,-1,5,4,,,5,-2,
,Apr,22-26,1,MORI,ST,44,-2,42,5,6,-2,5,,,,2,-7,
,May,,2?,Harris,TV-AM,43,-1,38,-1,11,1,,,,,5,0,
,May,6-10,11,Marplan,GU,44,1,42,0,7,-1,4,-1,,,2,1,
,May,11-16,19,Gallup,DT,45,4.5,36,-5.5,8.5,-2.5,6,-1,,,9,10,
,May,18-19,22,Harris,OB,44,1,41,3,10,-1,2,,,,3,-2,
,May,18-23,,NOP,,47,2,37,1,8,,4,,,,10,1,
,May,27-29,,ASL,,40,,43,,6,,8,,,,-3,,Phone
,May,27-1,5,MORI,ST,44,0,40,-2,7,1,6,1,,,4,2,
,May,,29,ASL,,40,-5,43,3,6,,8,,,,-3,-8,Phone
,Jun,3-4,7,Harris,TV-AM,43,-1,40,-1,12,2,2,0,,,3,0,
,Jun,3-6,11,MORI,ST,47,3,40,0,7,0,4,-2,,,7,3,
,Jun,3-7,11,Marplan,GU,47,3,42,0,5,-2,3,-1,,,5,3,
,Jun,9-13,17,Gallup,DT,42,-3,43,7,7,-1.5,4,-2,,,-1,-9,
,Jun,22-23,26,Harris,OB,48,5,36,-4,9,-3,3,1,,,12,9,
,Jun,22-27,,NOP,,49,2,34,-3,10,2,4,0,,,15,5,
,Jun,22-28,3,MORI,ST,48,1,38,-2,7,0,5,1,,,10,3,
,Jun,24-26,,ASL,,45,5,38,-5,8,2,5,-3,,,7,10,Phone
,Jun,,28,ASL,,45,5,38,-5,8,2,5,-3,,,7,10,Phone
,Jun,29-4,4,NOP,,46,-3,36,2,10,0,4,0,,,10,-5,
,Jul,2-3,5,Harris,TV-AM,47,-1,38,2,9,0,3,0,,,9,-3,
,Jul,,11,MORI Q,,48,,38,,7,,5,,,,10,,
,Jul,8-12,13,Marplan,GU,45,-2,43,1,6,1,4,1,,,2,-3,
,Jul,13-18,21,Gallup,DT,41.5,-0.5,39,-4,9,2,7,3,,,2.5,3.5,
,Jul,20-21,24,Harris,OB,46,-1,41,3,9,0,3,0,,,5,-4,
,Jul,21-25,31,MORI,ST,46,-2,41,3,8,1,4,-1,,,5,-5,
,Aug,5-9,13,Marplan,GU,45,0,41,-2,7,1,4,0,,,4,2,
,Aug,10-15,17,Gallup,DT,45.5,4,33.5,-5.5,10.5,1.5,6.5,-0.5,,,12,9.5,
,Aug,17-22,,NOP,,47,1,33,-3,,,,,,,14,4,
,Aug,18-22,28,MORI,ST,50,4,36,-5,8,0,4,0,,,14,9,
,Sep,7-12,16,Gallup,DT,43,-2.5,36.5,3,12.5,2,5,-1.5,,,6.5,-5.5,
,Sep,9-11,12,ASL,,42,-3,40,2,8,0,6,1,,,2,-5,Phone
,Sep,9-14,16,Marplan,GU,44,-1,42,1,9,2,3,-1,,,2,-2,
,Sep,9-14,17,NOP,,46,-1,38,5,8,,3,,,,8,-6,
,Sep,20-22,25,Harris,OB,47,1,38,-3,8,-1,5,2,,,9,4,
,Sep,21-26,2,MORI,ST,44,-6,39,3,8,0,6,2,,,5,-9,
,Sep,27-29,29,Harris,TV-AM,48,1,36,-2,11,3,2,-3,,,12,3,
,Oct,,10,MORI Q,,46,-2,39,1,8,1,4,-1,,,7,-3,
,Oct,7,11,Marplan,SE,45,1,40,-2,8,-1,2,-1,,,5,3,
,Oct,7-11,13,Marplan,GU,44,-1,40,0,7,-1,5,3,,,4,-1,
,Oct,7-12,13,NOP,,46,0,36,-2,9,1,4,1,,,10,2,
,Oct,19-20,23,Harris,OB,49,1,40,4,7,-4,2,0,,,9,-3,
,Oct,19-24,27,Gallup,DT,45.5,2.5,34,-2.5,12.5,0,5,0,,,11.5,5,
,Oct,26-31,6,MORI,ST,44,0,39,0,8,0,6,0,,,5,0,
,Oct,28-30,31,ASL,,46,4,35,-5,7,-1,6,0,,,11,9,Phone
,Nov,2-7,8,NOP,,45,-1,36,0,10,1,4,0,,,9,-1,
,Nov,4-7,10,Marplan,GU,42,-2,42,2,8,1,5,0,,,0,-4,
,Nov,8-14,17,Gallup,DT,42.5,-3,36,2,12.5,0,4.5,-0.5,,,6.5,-5,
,Nov,21-24,27,Harris,OB,44,-5,39,-1,9,2,3,1,,,5,-4,
,Nov,25-27,28,ASL,,40,-6,39,4,9,2,6,0,,,1,-10,Phone
,Nov,25-30,4,MORI,ST,45,1,37,-2,8,0,6,0,,,8,3,
,Nov,30-5,6,NOP,,41,-4,36,0,11,1,4,0,,,,,
,Nov,,,G9000,,43.1,,35.8,,11.2,,5,0,,,7.3,,
,Dec,2-6,8,Marplan,GU,45,3,39,-3,8,0,4,-1,,,6,6,
,Dec,6-12,16,Gallup,DT,43,0.5,32,-4,13,0.5,6.5,2,,,11,4.5,
,Dec,28-29,1,MORI,ST,46,1,36,-1,6,-2,7,1,,,10,2,
,Dec,28-30,31,ASL,,45,5,37,-2,8,-1,6,0,,,8,7,Phone
,Dec,,,MORI Q,,44,-2,39,0,8,0,6,2,,,5,-2,
,Dec,,17,G9000,,42.1,-1,33.9,-1.9,13.1,1.9,5.1,0.1,,,8.2,0.9,
