Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
1992,Apr,10-11,,ASL,,42,,36,,18,,,,6,,Phone
,Apr,10-12,,Gallup,,39,,38,,19,,,,1,,
,Apr,25-28?,3,MORI,ST,43,,38,,16,,,,5,,
,Apr,15-16,19,Harris,OB,44,,36,,17,,,,8,,
,Apr,25-28,,MORI,,39,-4,37,-1,18,2,,,2,-3,
,Apr,29-4,,Gallup,,42,3,39,1,17,-2,,,3,2,
,May,8-9,13,ICM,GU,46,,36,,14,,,,10,,
,May,13-14,17,Harris,OB,46,2,37,1,13,-4,,,9,1,
,May,15-17,29,ASL,,45,3,37,1,13,-6,,,8,10,Phone
,May,21-26,31,MORI,ST,43,4,38,1,16,-2,,,5,3,
,May,28-1,,Gallup,,45,3,37,-2,17,0,,,8,5,
,Jun,5-6,10,ICM,GU,44,-2,36,0,13,-1,,,8,-2,
,Jun,17-18,21,Harris,OB,46,0,36,-1,15,2,,,10,1,
,Jun,19-23,28,MORI,ST,42,-1,39,1,16,0,,,3,-2,
,Jul,1-6,,Gallup,,42,-3,38,1,16,-1,,,4,-4,
,Jul,3-4,8,ICM,GU,45,1,39,3,12,-1,,,6,-2,
,Jul,15-16,19,Harris,OB,44,-2,38,2,15,0,,,6,-4,
,Jul,23-28,2,MORI,ST,39,-3,43,4,15,-1,,,-4,-7,
,Jul,29-3,,Gallup,,40.5,-1.5,45,7,12,-7,,,-4.5,-8.5,
,Jul,,,G9000,,39.1,,41.4,,14.8,,,,-2.3,,
,Aug,7-8,9,ICM,GU,41,-4,40,1,14,2,,,1,-5,
,Aug,14,15,NOP,IoS,43,,39,,14,,,,4,,
,Aug,21,,MORI,,38,-1,44,1,14,-1,,,-6,-2,
,Aug,27-1,7,MORI,TT,41,3,44,0,13,-1,,,-3,3,
,Aug,,,G9000,,38.4,-0.7,42.6,1.2,14.1,-0.7,,,-4.2,-1.9,
,Sept,2-7,,Gallup,,43,2.5,41,-4,12,0,,,2,6.5,
,Sept,5-6,10,ICM,GU,38,-3,38,-1,18,4,,,0,-1,
,Sept,16-17,20,Harris,OB,36,-8,44,6,16,1,,,-8,-14,
,Sept,16-21,28,Gallup,DT,37,-6,42,1,17,5,,,-5,-2,
,Sept,18,20,NOP,IoS,39,-4,41,2,16,2,,,-2,-6,
,Sept,18-19,20,MORI,ST,39,,43,,15,,,,-4,,Phone
,Sept,23-28,4,Gallup,DT,37,0,44,2,15,-2,,,-7,-2,
,Sept,25-29,5,MORI,TT,37,-4,43,-1,16,3,,,-6,-3,
,Sept,,,G9000,,36.9,-1.5,44.5,1.9,14.2,0.1,,,-7.6,-3.4,
,Oct,7-12,,Gallup,,36,-1,45,1,14,-1,,,-9,-2,
,Oct,9-10,14,ICM,GU,38,0,42,4,16,-2,,,-4,-4,
,Oct,14-19,,Gallup,,29,-7,51,6,14,0,,,-22,-13,
,Oct,23-27,1,MORI,ST,35,-2,45,2,15,-1,,,-10,-4,
,Oct,28-2,6,Gallup,DT,32.5,3.5,50,-1,13,-1,,,-17.5,4.5,
,Oct,30,1,NOP,IoS,34,-5,47,6,14,-2,,,-13,-11,
,Oct,,,G9000,,32,-4.9,48.4,3.9,14.4,0.2,,,-16.4,-8.8,
,Nov,6-7,12,ICM,GU,34,-4,43,1,17,1,,,-9,-5,
,Nov,7-8,16,Harris,WIA,30,-6,53,9,13,-3,,,-23,-15,
,Nov,11-12,15,Harris,OB,32,2,51,-2,14,1,,,-19,4,
,Nov,19-20,22,ICM,DE,33,-1,49,6,14,-3,,,-16,-7,
,Nov,25-30,4,Gallup,DT,29,-3.5,52,2,14,1,,,-23,-5.5,
,Nov,27-1,8,MORI,ST,34,-1,47,2,15,0,,,-13,-3,
,Nov,,,G9000,,30.2,-1.8,51.5,3.1,13.5,-0.9,,,-21.3,-4.9,
