Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
1997,May,,,G9000,DT,23.3,-7.7,56.9,6.9,14.7,2.1,-33.6,-14.6,
,May,29-4,5,Gallup,DT,23,-10,59,13,13,-3,-36,-23,
,Jun,6-7,10,ICM,GU,23,-10,62,19,14,-4,-39,-29,
,Jun,27-28,1,ICM,GU,23,0,61,-1,12,-2,-38,1,
,Jun,20-23,26,MORI,TT,24,-5,58,12,15,-4,-34,-17,
,Jun,,,G9000,,24.2,0.9,60.4,3.5,11.5,-3.5,-36.2,-2.6,
,Jul,2-3,5,Gallup,DT,23,0,61,2,13,0,-38,-2,
,Jul,25-28,31,MORI,TT,23,-1,57,-1,15,0,-34,0,
,Jul,31-6,,Gallup,DT,25,2,58,-3,12,-1,-33,5,
,Jul,,,G9000,,25.3,1.1,58.5,-1.9,12,0.5,-33.2,3,
,Aug,8-9,12,ICM,GU,29,6,55,-6,12,0,-26,12,
,Aug,21-25,28,MORI,TT,28,5,54,-3,15,0,-26,8,
,Aug,27-3,12,Gallup,DT,26,1,58,0,12,0,-32,1,
,Aug,,,G9000,,26.8,1.5,57.6,-0.9,11.4,-0.6,-30.8,2.4,
,Sep,4-8,10,ICM,GU,24,-5,60,5,10,-2,-36,-10,
,Sep,25-1,6,Gallup,DT,22,-4,60,2,14,2,-38,-6,
,Sep,26-29,2,MORI,TT,25,-3,59,5,13,-2,-34,-8,
,Sep,,,G9000,,23.1,-3.7,62,4.4,11,-0.4,-38.9,-8.1,
,Oct,6,8,ICM,GU,23,-3,59,1,13,3,-36,-4,
,Oct,24-27,29,MORI,TT,24,-1,60,1,12,-1,-36,-2,
,Oct,30-4,7,Gallup,DT,23,1,63,3,11,-3,-40,-2,
,Oct,,,G9000,,23.2,0.1,63.2,1.2,9.7,-1.3,-40,-1.1,
,Nov,7-8,12,ICM,GU,30,7,52,-7,14,1,-22,14,
,Nov,13-14,17,MORI,Sun,30,,56,,11,,-26,,Phone
,Nov,21-24,27,MORI,TT,24,0,56,-4,16,4,-32,4,
,Nov,27-3,5,Gallup,DT,21,-2,57,-6,17,6,-36,4,
,Nov,,,G9000,,23.6,0.4,58.6,-4.6,13,3.3,-35,5,
,Dec,5-6,9,ICM,GU,29,-1,50,-2,17,3,-21,1,
,Dec,17,21,NOP,ST,28,,48,,,,-20,,
,Dec,12-15,18,MORI,TT,26,2,55,-1,15,-1,-29,3,
,Dec,,,G9000,,24.6,1,56.6,-2,13.8,0.8,-32,3,
1998,Jan,5-7,9,Gallup,DT,26,5,56,1,12,-5,-30,6,
,Jan,9-11,13,ICM,GU,30,1,48,-2,17,0,-18,3,
,Jan,23-26,29,MORI,TT,28,2,54,-1,14,-1,-26,3,
,Jan,28-4,6,Gallup,DT,29,3,54,-2,11,-1,-25,5,
,Jan,,,G9000,,26.8,2.2,54.9,-1.7,13.1,-0.7,-28.1,3.9,
,Feb,6-8,10,ICM,GU,31,1,47,-1,18,1,-16,2,
,Feb,20-23,26,MORI,TT,28,0,52,-2,15,1,-24,2,
,Feb,26-4,6,Gallup,DT,29,0,51,-3,14,3,-22,3,
,Feb,,,G9000,,28.1,1.3,54.4,-0.5,12.9,-0.2,-26.3,1.8,
,Mar,6-8,10,ICM,GU,33,2,46,-1,17,-1,-13,3,
,Mar,20-23,26,MORI,TT,28,0,53,1,14,-1,-25,-1,
,Mar,26-1,3,Gallup,DT,26,-3,54,3,16,2,-28,-6,
,Mar,,,G9000,,29.3,1.2,51.1,-3.3,14,1.1,-21.8,4.5,
,Apr,3-5,8,ICM,GU,31,-2,48,2,16,-1,-17,-4,
,Apr,20-23,26,ICM,OB,29,-2,52,4,16,0,-23,-6,
,Apr,23-29,1,Gallup,DT,25,-1,54,0,16,0,-29,-1,
,Apr,24-26,29,MORI,Sun,30,,54,,13,,-24,,Phone
,Apr,24-27,30,MORI,TT,27,-1,55,2,14,0,-28,-3,
,Apr,,,G9000,,26.5,-2.8,53.8,2.7,15.3,1.3,-27.3,-5.5,
,May,13-14,17,ICM,OB,25,-4,47,-5,15,-1,-22,1,
,May,15-19,20,ICM,GU,29,4,50,3,16,1,-21,1,
,May,21-24,28,MORI,TT,26,-1,55,0,14,0,-29,-1,
,May,28-3,5,Gallup,DT,28,3,54,0,12,-4,-26,3,
,May,,,G9000,,25.9,-0.6,55.2,1.4,13.8,-1.5,-29.3,-2,
,Jun,5-6,9,ICM,GU,29,0,51,1,16,0,-22,-1,
,Jun,24-26,29,MORI,Sun,28,-2,51,-3,15,2,-23,1,Phone
,Jun,25-30,2,MORI,TT,27,1,56,1,13,-1,-29,0,
,Jun,25-1,3,Gallup,DT,28,0,52,-2,14,2,-24,2,
,Jun,,,Gallup,,27.1,1.2,54.1,-1.1,12.8,-1,-27,2.3,
,Jul,3-4,7,ICM,GU,27,-2,52,1,17,1,-25,-3,
,Jul,17-21,23,MORI,TT,28,1,53,-3,14,0,-25,4,
,Jul,,,Gallup,,27.8,0.7,53.9,-0.2,12.7,-0.1,-26.1,0.9,
,Aug,30-5,7,Gallup,DT,28,0,53,1,13,-1,-25,-1,
,Aug,7-9,15,ICM,GU,31,4,47,-5,17,0,-16,9,
,Aug,21-24,28,MORI,TT,28,0,52,-1,14,0,-24,1,
,Aug,26-3,4,Gallup,DT,28,0,54,1,12,-1,-26,-1,
,Aug,,,Gallup,,28,0.2,54.9,1,12,-0.7,-26.9,-0.8,
,Sep,4-6,9,ICM,GU,29,-2,49,2,17,0,-20,-4,
,Sep,18-21,24,MORI,TT,24,-4,56,4,15,1,-32,-8,
,Sep,24-30,7,Gallup,DT,23,-5,57,3,15,3,-34,-8,
,Sep,,,Gallup,,28,0,54.1,-0.8,12.6,0.6,-26.1,0.8,
,Oct,1-4,6,ICM,GU,29,0,51,2,15,-2,-22,-2,
,Oct,23-26,29,MORI,TT,26,2,53,-3,16,1,-27,5,
,Oct,29-4,6,Gallup,DT,28,5,54,3,14,-1,-26,8,
,Oct,,,Gallup,,25.3,-2.7,56.5,2.4,13,0.4,-31.2,-5.1,
,Nov,6-7,10,ICM,GU,27,-2,51,0,17,2,-24,-2,
,Nov,20-23,26,MORI,TT,29,3,53,0,13,-3,-24,3,
,Nov,26-2,4,Gallup,DT,29,1,55,1,11,-3,-26,0,
,Nov,,,Gallup,,27.2,1.9,54.3,-2.2,13.1,0.1,-27.1,4.1,
,Dec,4-7,9,ICM,GU,29,2,49,-2,16,-1,-20,4,
,Dec,9-15,,NOP,ES,27,,55,,12,,-28,,
,Dec,11-14,17,MORI,TT,27,-2,54,1,12,-1,-27,-3,
,Dec,30-3,5,ICM,GU,30,1,50,1,15,-1,-20,0,
,Dec,,,Gallup,,27.1,-0.1,55.5,1.2,12.3,-0.8,-28.4,-1.3,
1999,Jan,4-6,8,Gallup,DT,29,0,52,-3,13,2,-23,3,
,Jan,5-6,8,NOP,DE,24,-3,48,-7,19,7,-24,4,
,Jan,6-12,13,NOP,ES,25,1,57,9,12,-7,-32,-8,
,Jan,22-25,28,MORI,TT,24,-3,56,2,14,2,-32,-5,
,Jan,28-3,5,Gallup,DT,29,0,53,1,13,0,-24,-1,
,Jan,,,Gallup,,27.8,0.7,53.7,-1.8,13.1,0.8,-25.9,2.5,
,Feb,5-7,9,ICM,GU,28,-2,49,-1,16,1,-21,-1,
,Feb,19-22,26,MORI,TT,30,6,51,-5,14,0,-21,11,
,Feb,26-4,5,Gallup,DT,30,1,52,-1,11,-2,-22,2,
,Feb,,,Gallup,,27.5,-0.3,53.9,0.2,13.6,0.5,-26.4,-0.5,
,Mar,5-7,11,ICM,GU,29,1,52,3,16,0,-23,-2,
,Mar,19-22,24,MORI,TT,27,-3,54,3,13,-1,-27,-6,
,Mar,30-7,9,Gallup,DT,27,-3,54,2,13,2,-27,-5,
,Mar,,,Gallup,,28.5,1,53.3,-0.6,12.8,-0.8,-24.8,1.6,
,Apr,16-17,21,ICM,GU,28,-1,50,-2,17,1,-22,1,
,Apr,21-28,30,Gallup,DT,29,2,52,-2,13,0,-23,4,
