start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1946-01-01,NA,NA,Gallup,News Chron,32,52.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946-05-01,NA,NA,Gallup,News Chron,40,43.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-01-01,NA,NA,Gallup,News Chron,41,44.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-03-01,NA,NA,Gallup,News Chron,43.5,43.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-06-01,NA,NA,Gallup,News Chron,42.5,42.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-07-01,NA,NA,Gallup,News Chron,42.5,42.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-08-01,NA,NA,Gallup,News Chron,44.5,41,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-09-01,NA,NA,Gallup,News Chron,44.5,39.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-11-01,NA,NA,Gallup,News Chron,50.5,38,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-01-01,NA,NA,Gallup,News Chron,44.5,43.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-02-01,NA,NA,Gallup,News Chron,46,42,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-03-01,NA,NA,Gallup,News Chron,46,43,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-04-01,NA,NA,Gallup,News Chron,42.5,41,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-05-01,NA,NA,Gallup,News Chron,45,41.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-07-01,NA,NA,Gallup,News Chron,48,39.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-08-01,NA,NA,Gallup,News Chron,48,41,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-09-01,NA,NA,Gallup,News Chron,47.5,41.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-10-01,NA,NA,Gallup,News Chron,46.5,41.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948-11-01,NA,NA,Gallup,News Chron,46,43,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-01-01,NA,NA,Gallup,News Chron,44,40.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-02-01,NA,NA,Gallup,News Chron,44.5,43.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-03-01,NA,NA,Gallup,News Chron,41.5,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-04-01,NA,NA,Gallup,News Chron,42,43.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-05-01,NA,NA,Gallup,News Chron,46,40,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-06-01,NA,NA,Gallup,News Chron,46,41.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-07-01,NA,NA,Gallup,News Chron,44.5,40.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-08-01,NA,NA,Gallup,News Chron,46.5,40.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-09-01,NA,NA,Gallup,News Chron,46,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-10-01,NA,NA,Gallup,News Chron,45.5,39.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-10-01,NA,NA,NA,NA,50,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-11-01,NA,NA,Gallup,News Chron,43.5,40,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-11-01,NA,NA,Gallup,News Chron,48,38,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949-12-01,NA,NA,Gallup,News Chron,45,41,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-01-01,NA,1950-01-20,Gallup,News Chron,44,41.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-01-01,NA,1950-01-23,NA,DE,48,42,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-01-01,NA,1950-01-30,Gallup,News Chron,44,45.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-01-01,NA,1950-01-30,NA,DE,47.5,42.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,NA,1950-02-06,NA,DE,45,44,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,NA,1950-02-10,Gallup,News Chron,43,44.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,NA,1950-02-13,NA,DE,45,45,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,NA,1950-02-17,Gallup,News Chron,42.5,45,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-01,NA,1950-02-20,NA,DE,46,44.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-05,1950-02-11,1950-02-15,Daily Mail,NA,45.5,42.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-17,1950-02-20,1950-02-22,Gallup,News Chron,43.5,45,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-02-17,1950-02-21,1950-02-23,NA,DE,44.5,44,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-03-01,NA,NA,Gallup,News Chron,43.5,45.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-04-01,NA,NA,Gallup,News Chron,45.5,47,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-05-01,NA,NA,Gallup,News Chron,43.5,46.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-06-01,NA,NA,Gallup,News Chron,43.5,46,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-07-01,NA,NA,Gallup,News Chron,42,43.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-08-01,NA,NA,Gallup,News Chron,44.5,46,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-09-01,NA,NA,Gallup,News Chron,43,45.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-10-01,NA,NA,Gallup,News Chron,42.5,45,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-11-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-12-01,NA,NA,Gallup,News Chron,43,44,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-01-01,NA,NA,Gallup,News Chron,51,38,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-02-01,NA,NA,Gallup,News Chron,51.5,37.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-03-01,NA,NA,Gallup,News Chron,51,36.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-04-01,NA,NA,Gallup,News Chron,50.5,38.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-05-01,NA,NA,Gallup,News Chron,49,40,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-06-01,NA,NA,Gallup,News Chron,48,41,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-07-01,NA,NA,Gallup,News Chron,49,39,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-08-01,NA,NA,Gallup,News Chron,50.5,38,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-09-26,NA,NA,Gallup,News Chron,52,41,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-03,NA,NA,Gallup,News Chron,50.5,43.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-10,NA,NA,Gallup,News Chron,50.5,44,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-17,NA,NA,Gallup,News Chron,50,45.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,NA,NA,Gallup,NA,50,46.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,NA,NA,Research Serv Ltd,Daily Graphic,50,43,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-19,1951-10-23,NA,NA,DE,50,46,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-10-22,NA,NA,Gallup,News Chron,49.5,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-11-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-12-01,NA,NA,Gallup,News Chron,47,45,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-01-01,NA,NA,Gallup,News Chron,44.5,48,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-02-01,NA,NA,Gallup,News Chron,41,47,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-03-01,NA,NA,Gallup,News Chron,41.5,48,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-04-01,NA,NA,Gallup,News Chron,43.5,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-05-01,NA,NA,Gallup,News Chron,43.5,49,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-06-01,NA,NA,Gallup,News Chron,40.5,49,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-07-01,NA,NA,Gallup,News Chron,40,50,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-08-01,NA,NA,Gallup,News Chron,40,48,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-09-01,NA,NA,Gallup,News Chron,41,48.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-10-01,NA,NA,Gallup,News Chron,41.5,48,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952-11-01,NA,NA,Gallup,News Chron,43.5,46.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
