start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,ukip,other
2015-12-19,2015-12-23,Opinium/The Observer[n 4],2003,0.29,0.06,0.33,0.06,0.19,0.07
2015-12-21,2015-12-22,YouGov/The Sun,1642,0.32,0.05,0.36,0.06,0.16,0.05
2015-12-19,2015-12-21,Populus,2051,0.35,0.04,0.35,0.09,0.12,0.05
2015-12-18,2015-12-19,Survation/Daily Mirror,1009,0.3,0.03,0.33,0.1,0.21,0.03
2015-12-18,2015-12-19,YouGov/Sunday Times,2109,0.32,0.08,0.34,0.06,0.15,0.05
2015-12-16,2015-12-19,Opinium/The Observer,1427,0.29,0.05,0.36,0.06,0.16,0.08
2015-12-17,2015-12-18,Populus,2069,0.34,0.04,0.35,0.09,0.13,0.05
2015-12-17,2015-12-18,YouGov/The Sun,1981,0.3,0.08,0.35,0.06,0.16,0.05
2015-12-16,2015-12-17,YouGov/The Sun,2087,0.33,0.07,0.33,0.08,0.14,0.05
2015-12-15,2015-12-16,YouGov/The Sun,2021,0.33,0.06,0.34,0.06,0.16,0.05
2015-12-12,2015-12-16,ICM/The Guardian,1001,0.28,0.05,0.33,0.14,0.14,0.06
2015-12-14,2015-12-15,YouGov/The Sun,1648,0.32,0.08,0.34,0.06,0.14,0.06
2015-12-13,2015-12-15,Ipsos Mori/Evening Standard,1012,0.32,0.09,0.29,0.09,0.13,0.08
2015-12-11,2015-12-15,TNS,1180,0.28,0.07,0.35,0.05,0.19,0.06
2015-12-12,2015-12-14,ComRes/The Independent[permanent dead link],1002,0.29,0.05,0.32,0.12,0.16,0.06
2015-12-12,2015-12-14,Populus,2074,0.34,0.05,0.36,0.1,0.12,0.03
2015-12-11,2015-12-12,YouGov/Sunday Times,1941,0.32,0.07,0.32,0.07,0.16,0.06
2015-12-10,2015-12-12,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link],2014,0.33,0.02,0.34,0.08,0.18,0.05
2015-12-10,2015-12-11,Populus,1140,0.34,0.04,0.35,0.09,0.14,0.04
2015-12-10,2015-12-11,YouGov/The Sun,2088,0.32,0.07,0.34,0.07,0.14,0.06
2015-12-09,2015-12-10,YouGov/The Sun,1983,0.33,0.07,0.33,0.06,0.15,0.06
