start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,ukip,other
2015-05-05,2015-05-07,Populus[9],3917,0.34,0.05,0.34,0.09,0.13,0.05
2015-05-06,2015-05-06,Survation[10](unpublished),1045,0.37,0.05,0.31,0.1,0.11,0.06
2015-04-30,2015-05-06,SurveyMonkey[11],18131,0.34,0.08,0.28,0.07,0.13,0.1
2015-05-05,2015-05-06,Lord Ashcroft,3028,0.33,0.06,0.33,0.1,0.11,0.07
2015-05-05,2015-05-06,Ipsos MORI/Evening Standard,1186,0.36,0.05,0.35,0.08,0.11,0.05
2015-05-04,2015-05-06,YouGov/The Sun,10307,0.34,0.04,0.34,0.1,0.12,0.06
2015-05-05,2015-05-06,"ComRes/Daily Mail, ITV News",1007,0.35,0.04,0.34,0.09,0.12,0.06
2015-05-04,2015-05-06,Survation/Daily Mirror[n 1],4088,0.31,0.05,0.31,0.1,0.16,0.07
2015-05-03,2015-05-06,ICM/The Guardian[n 2],2023,0.34,0.04,0.35,0.09,0.11,0.07
2015-05-03,2015-05-06,ICM/The Guardian[n 3],1560,0.35,0.03,0.35,0.09,0.11,0.07
2015-05-01,2015-05-06,Panelbase[12],3019,0.31,0.05,0.33,0.08,0.16,0.07
2015-05-04,2015-05-05,Opinium,2960,0.35,0.06,0.34,0.08,0.12,0.05
2015-05-04,2015-05-05,YouGov/The Sun,2148,0.34,0.05,0.34,0.09,0.12,0.06
2015-05-04,2015-05-05,Survation/Daily Mirror,1504,0.33,0.04,0.34,0.09,0.16,0.04
2015-05-03,2015-05-05,"ComRes/Daily Mail, ITV News",1011,0.35,0.04,0.32,0.09,0.14,0.06
2015-05-03,2015-05-05,"BMG/May2015.com, New Statesman",1009,0.34,0.04,0.34,0.1,0.12,0.06
2015-05-03,2015-05-04,YouGov/The Sun,1664,0.33,0.05,0.33,0.1,0.12,0.07
2015-04-30,2015-05-04,TNS,1185,0.33,0.06,0.32,0.08,0.14,0.07
2015-05-02,2015-05-03,YouGov/The Sun,1789,0.34,0.05,0.33,0.09,0.12,0.07
2015-05-01,2015-05-03,Lord Ashcroft,1001,0.32,0.07,0.3,0.11,0.12,0.08
2015-05-01,2015-05-03,Populus,2054,0.34,0.05,0.34,0.1,0.13,0.04
2015-05-01,2015-05-02,YouGov/Sunday Times,1967,0.34,0.05,0.33,0.08,0.13,0.07
2015-05-01,2015-05-02,Survation/Mail on Sunday,2128,0.31,0.04,0.34,0.08,0.17,0.06
2015-04-30,2015-05-01,YouGov/The Sun,1575,0.33,0.05,0.34,0.08,0.14,0.06
2015-04-30,2015-05-01,Survation/Daily Mirror,1117,0.33,0.03,0.34,0.09,0.16,0.05
2015-04-29,2015-04-30,YouGov/Sun on Sunday,1970,0.34,0.05,0.35,0.09,0.12,0.05
2015-04-29,2015-04-30,Populus,2016,0.33,0.04,0.33,0.09,0.15,0.06
2015-04-29,2015-04-30,YouGov/The Sun,1729,0.34,0.05,0.35,0.08,0.12,0.06
2015-04-29,2015-04-30,Panelbase,1020,0.32,0.04,0.34,0.08,0.17,0.05
2015-04-28,2015-04-30,"ComRes/Independent on Sunday, Sunday Mirror",1002,0.33,0.07,0.33,0.08,0.13,0.06
2015-04-28,2015-04-30,Opinium/The Observer,1956,0.35,0.05,0.34,0.08,0.13,0.05
2015-04-28,2015-04-29,YouGov/The Sun,1823,0.35,0.04,0.34,0.09,0.12,0.06
2015-04-26,2015-04-29,Ipsos MORI/Evening Standard,1010,0.35,0.08,0.3,0.08,0.1,0.09
2015-04-27,2015-04-28,"ComRes/ITV News, Daily Mail",1005,0.35,0.06,0.35,0.07,0.11,0.06
2015-04-27,2015-04-28,YouGov/The Sun,1749,0.34,0.04,0.35,0.09,0.12,0.06
2015-04-26,2015-04-27,YouGov/The Sun,2127,0.35,0.05,0.34,0.09,0.12,0.05
2015-04-25,2015-04-27,BMG/May2015.com[13],1013,0.35,0.03,0.32,0.11,0.14,0.05
2015-04-23,2015-04-27,TNS,1186,0.34,0.05,0.33,0.07,0.15,0.06
2015-04-25,2015-04-26,YouGov/The Sun,2096,0.33,0.05,0.34,0.08,0.14,0.06
2015-04-24,2015-04-26,Lord Ashcroft,1003,0.36,0.07,0.3,0.09,0.11,0.07
2015-04-24,2015-04-26,ICM/The Guardian,1004,0.35,0.05,0.32,0.09,0.13,0.06
2015-04-24,2015-04-26,Populus,2072,0.33,0.05,0.36,0.08,0.14,0.04
2015-04-24,2015-04-25,YouGov/Sunday Times,2271,0.32,0.06,0.34,0.09,0.14,0.05
2015-04-24,2015-04-25,Survation/Mail on Sunday,1004,0.33,0.04,0.3,0.09,0.18,0.06
2015-04-23,2015-04-24,YouGov/The Sun,1594,0.33,0.06,0.35,0.08,0.13,0.05
2015-04-21,2015-04-24,Opinium/The Observer,1964,0.34,0.06,0.33,0.09,0.13,0.05
2015-04-22,2015-04-23,Populus,2051,0.32,0.05,0.35,0.08,0.14,0.06
2015-04-22,2015-04-23,YouGov/The Sun,1834,0.33,0.06,0.35,0.08,0.13,0.05
2015-04-22,2015-04-23,Survation/Daily Mirror,1205,0.33,0.04,0.29,0.1,0.18,0.06
2015-04-21,2015-04-23,Panelbase,1012,0.31,0.04,0.34,0.07,0.17,0.07
2015-04-21,2015-04-22,"ComRes/ITV News, Daily Mail",1003,0.36,0.05,0.32,0.08,0.1,0.09
2015-04-21,2015-04-22,YouGov/The Sun,2060,0.33,0.05,0.34,0.07,0.14,0.07
2015-04-20,2015-04-21,YouGov/The Sun,1799,0.35,0.05,0.34,0.07,0.13,0.06
2015-04-19,2015-04-20,YouGov/The Sun,2078,0.34,0.05,0.35,0.07,0.13,0.06
2015-04-16,2015-04-20,TNS,1199,0.32,0.05,0.34,0.08,0.15,0.06
