start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,scottish_national_party,ukip,other
2017-06-06,2017-06-07,Ipsos MORI/Evening Standard,1291,0.44,0.02,0.36,0.07,0.05,0.04,0.02
2017-06-06,2017-06-07,BMG/The Herald,1199,0.46,0.03,0.33,0.08,0.04,0.05,0.01
2017-06-06,2017-06-07,Survation,2798,0.41,0.02,0.4,0.08,0.04,0.02,0.03
2017-06-06,2017-06-07,ICM/The Guardian,1532,0.46,0.02,0.34,0.07,0.05,0.05,0.01
2017-06-05,2017-06-07,YouGov/The Times[a],2130,0.42,0.02,0.35,0.1,0.05,0.05,0.01
2017-06-05,2017-06-07,ComRes/Independent,2051,0.44,0.02,0.34,0.09,0.04,0.05,0.02
2017-06-04,2017-06-07,Qriously/Wired,2213,0.39,0.07,0.41,0.06,0.03,0.04,0
2017-06-02,2017-06-07,Panelbase,3018,0.44,0.02,0.36,0.07,0.04,0.05,0.02
2017-06-01,2017-06-07,Kantar Public,2159,0.43,0.02,0.38,0.07,0.04,0.04,0.02
2017-06-04,2017-06-06,Opinium,3002,0.43,0.02,0.36,0.08,0.05,0.05,0.01
2017-06-02,2017-06-04,ICM/The Guardian,2000,0.45,0.03,0.34,0.08,0.04,0.05,0.01
2017-06-03,2017-06-03,Survation/Mail on Sunday,1049,0.4,0.05,0.39,0.08,0.04,0.05,-0.01
2017-06-02,2017-06-03,Survation/Good Morning Britain[c],1103,0.41,0.01,0.4,0.06,0.04,0.03,0.05
2017-06-01,2017-06-02,YouGov/Sunday Times,1989,0.42,0.02,0.38,0.09,0.04,0.04,0.01
2017-05-31,2017-06-02,ICM/The Sun on Sunday,2051,0.45,0.03,0.34,0.09,0.04,0.05,0
2017-05-31,2017-06-02,"ComRes/Sunday Mirror, Independent on Sunday",2038,0.47,0.01,0.35,0.08,0.03,0.04,0.02
2017-05-31,2017-06-01,Norstat,1013,0.39,0.03,0.35,0.08,NA,0.06,0.09
2017-05-31,2017-06-01,ORB/Telegraph,1656,0.45,0.09,0.36,0.08,0.07,0.04,-0.09
2017-05-30,2017-06-01,Ipsos MORI/Evening Standard[c],1046,0.45,0.02,0.4,0.07,0.03,0.02,0.01
2017-05-26,2017-06-01,Panelbase,1224,0.44,0.02,0.36,0.07,0.05,0.05,0.01
2017-05-30,2017-05-31,Opinium/Observer,2006,0.43,0.02,0.37,0.06,0.05,0.05,0.02
2017-05-30,2017-05-31,YouGov/The Times,1875,0.42,0.02,0.39,0.07,0.04,0.04,0.02
2017-05-25,2017-05-30,Kantar Public,1199,0.43,0.03,0.33,0.11,0.04,0.04,0.02
2017-05-26,2017-05-29,ICM/The Guardian,2002,0.45,0.03,0.33,0.08,0.04,0.05,0.02
2017-05-26,2017-05-29,Qriously,1153,0.43,0.02,0.39,0.06,0.03,0.05,0.02
2017-05-26,2017-05-27,Survation/Good Morning Britain[c],1009,0.43,0.01,0.37,0.08,0.02,0.04,0.05
2017-05-25,2017-05-26,YouGov/Sunday Times,2003,0.43,0.02,0.36,0.09,0.04,0.04,0.02
2017-05-24,2017-05-26,ICM/The Sun on Sunday,2044,0.46,0.02,0.32,0.08,0.04,0.05,0.03
2017-05-24,2017-05-26,"ComRes/Sunday Mirror, Independent on Sunday",2024,0.46,0.02,0.34,0.08,0.04,0.05,0.01
2017-05-24,2017-05-25,ORB/Sunday Telegraph,1556,0.44,0.02,0.38,0.07,0.04,0.05,-0
2017-05-24,2017-05-25,YouGov/The Times,2052,0.43,0.01,0.38,0.1,0.05,0.04,-0.01
2017-05-23,2017-05-24,Opinium/Observer,2002,0.45,0.02,0.35,0.07,0.05,0.05,0.01
2017-05-19,2017-05-23,Panelbase/The Sunday Times,1019,0.48,0.02,0.33,0.07,0.05,0.04,0.01
2017-05-18,2017-05-22,Kantar Public,1200,0.42,0.04,0.34,0.09,0.04,0.04,0.03
2017-05-19,2017-05-21,ICM/The Guardian,2004,0.47,0.02,0.33,0.09,0.04,0.04,0.01
2017-05-19,2017-05-20,Survation/Good Morning Britain[c],1034,0.43,0.02,0.34,0.08,0.03,0.04,0.06
2017-05-19,2017-05-20,Survation/Mail on Sunday,1017,0.46,0.01,0.34,0.08,0.04,0.03,0.04
2017-05-18,2017-05-19,YouGov/Sunday Times,1925,0.44,0.02,0.35,0.09,0.05,0.03,0.02
2017-05-17,2017-05-18,ORB/Sunday Telegraph,1551,0.46,0.02,0.34,0.07,0.04,0.07,-0
2017-05-16,2017-05-17,Opinium/Observer,2003,0.46,0.02,0.33,0.08,0.05,0.05,0.01
2017-05-16,2017-05-17,YouGov/The Times,1861,0.45,0.02,0.32,0.08,0.05,0.06,0.02
2017-05-15,2017-05-17,Ipsos MORI/Evening Standard,1053,0.49,0.03,0.34,0.07,0.06,0.02,-0.01
2017-05-12,2017-05-15,Panelbase,1026,0.47,0.03,0.33,0.07,0.05,0.05,-0
2017-05-11,2017-05-15,Kantar Public,1201,0.47,0.04,0.29,0.08,0.04,0.06,0.02
2017-05-12,2017-05-14,ICM/The Guardian,2030,0.48,0.03,0.28,0.1,0.04,0.06,0.01
2017-05-03,2017-05-14,GfK/Business Insider,1952,0.48,0.03,0.28,0.07,0.06,0.05,0.03
2017-05-12,2017-05-13,Survation/Good Morning Britain,1016,0.48,0.02,0.3,0.08,0.04,0.04,0.04
2017-05-11,2017-05-12,YouGov/Sunday Times,1630,0.49,0.02,0.31,0.09,0.05,0.03,0.01
2017-05-10,2017-05-12,"ComRes/Sunday Mirror, Independent on Sunday",2007,0.48,0.03,0.3,0.1,0.04,0.05,0
2017-05-09,2017-05-12,Opinium/Observer,2003,0.47,0.02,0.32,0.08,0.05,0.05,0.01
2017-05-10,2017-05-11,ORB/Sunday Telegraph,1508,0.46,0.04,0.32,0.08,0.05,0.06,-0.01
2017-05-09,2017-05-10,YouGov/The Times,1651,0.46,0.02,0.3,0.11,0.06,0.05,0
2017-05-05,2017-05-09,Panelbase,1027,0.48,0.02,0.31,0.08,0.04,0.05,0.02
2017-05-04,2017-05-08,Kantar Public Archived 14 August 2017 at the Wayback Machine,1201,0.44,0.05,0.28,0.11,0.04,0.08,0
2017-05-05,2017-05-07,ICM/The Guardian,2038,0.49,0.03,0.27,0.09,0.04,0.06,0.02
2017-05-05,2017-05-06,Survation/Good Morning Britain,1005,0.47,0.03,0.3,0.07,0.05,0.04,0.04
2017-05-04,2017-05-05,YouGov/Sunday Times,1644,0.47,0.02,0.28,0.11,0.05,0.06,0.01
2017-05-03,2017-05-05,ICM/Sun on Sunday,2020,0.46,0.04,0.28,0.1,0.04,0.08,0
2017-05-03,2017-05-04,ORB/Sunday Telegraph,1550,0.46,0.03,0.31,0.09,0.03,0.08,0
2017-05-02,2017-05-03,Opinium/Observer,2005,0.46,0.02,0.3,0.09,0.04,0.07,0.02
2017-05-02,2017-05-03,YouGov/The Times,2066,0.48,0.02,0.29,0.1,0.05,0.05,0.01
2017-04-28,2017-05-02,Panelbase,1034,0.47,0.02,0.3,0.1,0.05,0.05,0.01
2017-04-28,2017-05-02,ICM/The Guardian,1970,0.47,0.04,0.28,0.08,0.03,0.08,0.02
2017-04-28,2017-05-01,Qriously,1240,0.44,0.04,0.28,0.09,0.03,0.08,0.04
2017-04-27,2017-05-02,Kantar Public,1205,0.48,0.04,0.24,0.11,0.04,0.07,0.02
2017-04-27,2017-04-28,YouGov/Sunday Times,1612,0.44,0.02,0.31,0.11,0.04,0.06,0.02
2017-04-26,2017-04-28,ICM/Sun on Sunday,2012,0.47,0.04,0.28,0.09,0.04,0.08,0
2017-04-25,2017-04-28,Opinium/Observer,2007,0.47,0.03,0.3,0.08,0.05,0.07,0
2017-04-26,2017-04-27,ORB/Sunday Telegraph,2093,0.42,0.04,0.31,0.1,0.04,0.08,0.01
2017-04-25,2017-04-26,YouGov/The Times,1590,0.45,0.03,0.29,0.1,0.05,0.07,0.01
2017-04-21,2017-04-25,Ipsos MORI/Evening Standard[permanent dead link],1004,0.49,0.01,0.26,0.13,0.04,0.04,0.03
2017-04-21,2017-04-24,ICM/The Guardian,2024,0.48,0.03,0.27,0.1,0.04,0.07,0.01
2017-04-20,2017-04-24,Panelbase,1026,0.49,0.03,0.27,0.1,0.05,0.05,0.01
2017-04-20,2017-04-24,Kantar Public,1196,0.46,0.04,0.24,0.11,0.05,0.08,0.02
2017-04-21,2017-04-22,Survation/Mail on Sunday,2072,0.4,0.02,0.29,0.11,0.04,0.11,0.03
2017-04-20,2017-04-21,YouGov/Sunday Times,1590,0.48,0.03,0.25,0.12,0.06,0.05,0.01
2017-04-19,2017-04-21,ICM/ITV,2027,0.48,0.03,0.26,0.1,0.04,0.08,0.01
2017-04-19,2017-04-20,ORB/Daily Telegraph,1860,0.44,0.04,0.29,0.08,0.05,0.1,0
2017-04-19,2017-04-20,ComRes/Sunday Mirror,2074,0.5,0.03,0.25,0.11,0.04,0.07,0
2017-04-19,2017-04-20,Opinium/Observer,2003,0.45,0.03,0.26,0.11,0.04,0.09,0.02
2017-04-02,2017-04-20,YouGov,12746,0.44,0.03,0.25,0.12,0.06,0.09,0.01
2017-04-18,2017-04-19,YouGov/The Times,1727,0.48,0.02,0.24,0.12,0.06,0.07,0.01
2017-04-18,2017-04-18,ICM/The Guardian,1000,0.46,0.04,0.25,0.11,0.04,0.08,0.02
2017-04-14,2017-04-17,ICM/The Guardian,2052,0.44,0.04,0.26,0.1,0.04,0.11,0.01
2017-04-12,2017-04-13,YouGov/The Times,2069,0.44,0.04,0.23,0.12,0.06,0.1,0.01
2017-04-11,2017-04-13,"ComRes/Sunday Mirror, Independent on Sunday",2026,0.46,0.04,0.25,0.11,0.04,0.09,0.01
2017-04-11,2017-04-13,Opinium/Observer,2002,0.38,0.05,0.29,0.07,0.05,0.14,0.02
2017-04-05,2017-04-06,YouGov/The Times,1651,0.42,0.03,0.25,0.11,0.08,0.11,0
2017-03-31,2017-04-02,ICM/The Guardian,2005,0.43,0.04,0.25,0.11,0.05,0.11,0.01
2017-03-26,2017-03-27,YouGov/The Times,1957,0.43,0.03,0.25,0.11,0.06,0.1,0.02
2017-03-20,2017-03-21,YouGov/The Times,1627,0.41,0.03,0.25,0.11,0.06,0.12,0.02
2017-03-17,2017-03-19,ICM/The Guardian,2012,0.45,0.04,0.26,0.09,0.04,0.1,0.02
