start_date,end_date,pollster_client,area,sample_size,conservative,green,labour,liberal_democrat,plaid_cymru,scottish_national_party,ukip,other
2018-12-18,2018-12-20,Opinium/The Observer,GB,2000,0.39,0.04,0.39,0.06,0,0.04,0.06,0.02
2018-12-16,2018-12-17,YouGov/The Times,GB,1660,0.41,0.01,0.39,0.07,0.04,0.05,0.03,-0
2018-12-14,2018-12-15,YouGov/Hope Not Hate,GB,1660,0.38,0.02,0.35,0.1,0.04,0.06,0.05,0
2018-12-13,2018-12-14,Opinium/The Observer,GB,2016,0.38,0.04,0.39,0.08,0.01,0.04,0.06,0
2018-12-12,2018-12-14,YouGov/People's Vote,GB,5043,0.4,0.01,0.36,0.1,0.04,0.05,0.03,0.01
2018-12-10,2018-12-11,Populus/Best for Britain,GB,2002,0.37,0.03,0.4,0.07,0.01,0.03,0.06,0.03
2018-12-09,2018-12-10,YouGov,GB,2008,0.39,0.01,0.38,0.09,0.05,0.05,0.04,-0.01
2018-12-06,2018-12-07,YouGov/The Sunday Times,GB,1652,0.38,0.01,0.37,0.1,0.03,0.05,0.04,0.02
2018-12-04,2018-12-07,BMG/The Independent,GB,1508,0.37,0.04,0.38,0.12,0.01,0.03,0.04,0.01
2018-12-05,2018-12-06,Kantar,GB,1178,0.38,0.05,0.38,0.09,0.01,0.04,0.05,0
2018-11-30,2018-12-05,Ipsos MORI,GB,1049,0.38,0.05,0.38,0.09,0.01,0.04,0.04,0.01
2018-12-03,2018-12-04,YouGov/The Times,GB,1624,0.4,0.01,0.38,0.09,0.04,0.05,0.04,-0.01
2018-11-30,2018-12-02,ComRes/Daily Express,GB,2035,0.37,0.03,0.39,0.09,0,0.03,0.06,0.03
2018-11-26,2018-11-27,YouGov/The Times,GB,1737,0.4,0.01,0.35,0.1,0.06,0.04,0.03,0.01
2018-11-18,2018-11-19,YouGov/The Times,GB,1671,0.39,0.01,0.36,0.08,0.04,0.06,0.04,0.02
2018-11-14,2018-11-15,ComRes/Sunday Mirror/Sunday Express,GB,2000,0.36,0.03,0.4,0.09,0.01,0.03,0.07,0.01
2018-11-14,2018-11-15,Opinium/The Observer Archived 19 November 2018 at the Wayback Machine,GB,2003,0.36,0.03,0.39,0.07,0.01,0.05,0.08,0.01
2018-11-08,2018-11-12,Kantar,GB,1147,0.4,0.03,0.39,0.08,0.01,0.04,0.03,0.02
2018-11-06,2018-11-09,BMG/The Independent,GB,1506,0.36,0.04,0.37,0.12,0.01,0.03,0.06,0.01
2018-11-02,2018-11-07,Panelbase/Constitutional Commission,GB,2016,0.4,0.03,0.4,0.08,0.01,0.04,0.05,-0.01
2018-11-04,2018-11-05,YouGov/The Times,GB,1637,0.41,0.01,0.37,0.08,0.04,0.04,0.04,0.01
2018-10-20,2018-11-02,Survation/Channel 4,UK,20090,0.39,0.02,0.4,0.08,NA,0.03,0.03,0.05
2018-10-29,2018-10-30,YouGov/The Times,GB,1648,0.41,0,0.39,0.07,0.05,0.04,0.02,0.02
2018-10-26,2018-10-28,ICM,GB,2048,0.4,0.03,0.38,0.09,0.01,0.03,0.05,0.01
2018-10-24,2018-10-26,Deltapoll/Daily Mirror,GB,1017,0.43,0.02,0.4,0.06,0,0.04,0.05,-0
2018-10-22,2018-10-23,YouGov/The Times,GB,1802,0.41,0.01,0.36,0.08,0.04,0.06,0.04,0
2018-10-19,2018-10-22,Ipsos MORI,GB,1044,0.39,0.05,0.37,0.1,0.01,0.04,0.05,-0.01
2018-10-14,2018-10-15,YouGov/The Times,GB,1649,0.41,0.01,0.36,0.09,0.04,0.04,0.03,0.02
2018-10-11,2018-10-15,Kantar,GB,1128,0.41,0.04,0.36,0.1,0.01,0.04,0.03,0.01
2018-10-11,2018-10-12,Opinium/The Observer,GB,2010,0.41,0.03,0.37,0.08,0.01,0.04,0.06,0
2018-10-10,2018-10-10,Survation,UK,1009,0.4,NA,0.39,0.07,NA,0.04,0.06,0.04
2018-10-08,2018-10-09,YouGov/The Times,GB,1647,0.41,0.02,0.37,0.09,0.04,0.05,0.03,-0.01
2018-10-03,2018-10-05,BMG/The Independent,GB,1503,0.38,0.04,0.39,0.1,0.01,0.04,0.04,0
2018-10-03,2018-10-05,Opinium/The Observer Archived 7 October 2018 at the Wayback Machine,GB,2007,0.39,0.03,0.39,0.07,0.01,0.03,0.06,0.02
2018-09-30,2018-10-01,YouGov/The Times,GB,1607,0.42,0.02,0.36,0.09,0.05,0.04,0.02,0
2018-09-28,2018-09-29,BMG/HuffPost UK,GB,1203,0.35,0.03,0.4,0.12,0.01,0.04,0.05,0
2018-09-26,2018-09-28,Opinium/The Observer,GB,2008,0.39,0.03,0.36,0.09,0,0.04,0.06,0.03
2018-09-26,2018-09-27,ComRes/Daily Express,GB,2036,0.39,0.02,0.4,0.09,0.01,0.03,0.05,0.01
2018-09-24,2018-09-25,YouGov/The Times,GB,1625,0.42,0,0.36,0.11,0.04,0.04,0.02,0.01
2018-09-21,2018-09-24,ICM/The Guardian,GB,2006,0.41,0.03,0.4,0.09,0,0.03,0.04,0
2018-09-21,2018-09-22,BMG/HuffPost UK,GB,1006,0.38,0.04,0.38,0.1,0,0.04,0.05,0.01
2018-09-18,2018-09-20,Opinium/The Observer,GB,2003,0.37,0.02,0.39,0.09,0.01,0.04,0.08,0
2018-09-18,2018-09-19,YouGov/The Times,GB,2509,0.4,0.01,0.36,0.11,0.05,0.05,0.02,0
2018-09-14,2018-09-18,Ipsos MORI,GB,1070,0.39,0.05,0.37,0.13,0,0.03,0.02,0.01
2018-09-12,2018-09-13,YouGov/The Times,GB,1620,0.4,0.01,0.36,0.11,0.04,0.04,0.03,0.01
2018-09-11,2018-09-13,Opinium/The Observer,GB,2011,0.39,0.03,0.38,0.07,0.01,0.04,0.06,0.02
2018-09-06,2018-09-10,Kantar,GB,1119,0.4,0.04,0.35,0.1,0,0.04,0.05,0.02
2018-09-07,2018-09-09,ICM/The Guardian,GB,2051,0.42,0.03,0.39,0.08,0,0.03,0.04,0.01
2018-09-07,2018-09-07,Survation/Daily Mail,UK,1039,0.38,0.01,0.37,0.1,0.01,0.03,0.04,0.06
2018-09-04,2018-09-07,BMG/The Independent,GB,1533,0.37,0.04,0.38,0.11,0.01,0.02,0.07,0
2018-09-03,2018-09-04,YouGov/The Times,GB,1883,0.39,0.01,0.35,0.11,0.05,0.05,0.04,0
2018-08-31,2018-09-01,Survation,UK,1017,0.37,0.02,0.41,0.06,0.01,0.03,0.07,0.03
2018-08-28,2018-08-29,YouGov/The Times,GB,1664,0.39,0.02,0.37,0.1,0.05,0.04,0.03,0
2018-08-20,2018-08-21,YouGov/The Times,GB,1697,0.4,0.02,0.37,0.09,0.06,0.05,0.02,-0.01
2018-08-17,2018-08-19,ICM/The Guardian,GB,2021,0.4,0.02,0.4,0.08,0,0.03,0.06,0.01
2018-08-14,2018-08-17,Opinium/The Observer,GB,2003,0.39,0.03,0.38,0.07,0.01,0.04,0.07,0.01
2018-08-14,2018-08-16,Deltapoll/The Sun on Sunday,GB,1904,0.37,0.05,0.4,0.08,0.01,0.03,0.06,0
2018-08-13,2018-08-14,YouGov/The Times,GB,1660,0.41,0.01,0.38,0.08,0.06,0.04,0.03,-0.01
2018-08-09,2018-08-13,Kantar,GB,1119,0.4,0.03,0.39,0.09,0.01,0.04,0.04,0
2018-08-09,2018-08-13,Number Cruncher Politics,UK,1036,0.38,0.02,0.4,0.08,0.01,0.04,0.05,0.02
2018-08-06,2018-08-10,BMG/The Independent,GB,1481,0.37,0.05,0.39,0.1,0,0.03,0.05,0.01
2018-08-08,2018-08-09,YouGov/The Times,GB,1675,0.39,0.01,0.35,0.1,0.07,0.05,0.03,0
2018-08-03,2018-08-05,ICM/The Guardian,GB,2049,0.39,0.03,0.4,0.07,0,0.04,0.06,0.01
2018-07-30,2018-07-31,YouGov/The Times,GB,1718,0.38,0.01,0.38,0.1,0.06,0.04,0.03,0
2018-07-20,2018-07-24,Ipsos MORI,GB,1023,0.38,0.03,0.38,0.1,0.01,0.04,0.06,0
2018-07-22,2018-07-23,YouGov/The Times,GB,1650,0.38,0,0.38,0.1,0.06,0.04,0.03,0.01
2018-07-20,2018-07-22,ICM/The Guardian,GB,2010,0.4,0.03,0.41,0.08,0,0.03,0.05,0
2018-07-19,2018-07-20,YouGov/The Sunday Times,GB,1668,0.38,0.01,0.39,0.09,0.06,0.05,0.02,0
2018-07-16,2018-07-17,YouGov/The Times,GB,1657,0.36,0,0.41,0.09,0.07,0.04,0.02,0.01
2018-07-12,2018-07-14,Deltapoll/The Sun on Sunday,GB,1484,0.37,0.03,0.42,0.07,0.01,0.03,0.06,0.01
2018-07-10,2018-07-13,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2005,0.36,0.03,0.4,0.08,0.01,0.04,0.08,0
2018-07-10,2018-07-11,YouGov/The Times,GB,1732,0.37,0.01,0.39,0.1,0.06,0.04,0.03,0
2018-07-08,2018-07-09,YouGov/The Times,GB,1669,0.39,0.01,0.39,0.09,0.05,0.04,0.03,0
2018-07-06,2018-07-09,ICM/The Guardian,GB,2013,0.41,0.03,0.39,0.09,0,0.03,0.04,0.01
2018-07-05,2018-07-09,Kantar,GB,1086,0.4,0.03,0.38,0.09,0.01,0.04,0.03,0.02
2018-07-07,2018-07-07,Survation/The Mail on Sunday,UK,1007,0.38,NA,0.4,0.1,0.01,0.03,NA,0.08
2018-07-03,2018-07-05,BMG/The Independent,GB,1511,0.39,0.04,0.37,0.1,0.01,0.03,0.03,0.03
2018-07-03,2018-07-04,YouGov/The Times,GB,1641,0.41,0.01,0.4,0.09,0.03,0.04,0.02,0
2018-06-22,2018-06-27,Ipsos MORI,GB,1026,0.41,0.04,0.38,0.07,0.01,0.04,0.04,0.01
2018-06-25,2018-06-26,YouGov/The Times,GB,1645,0.42,0.01,0.37,0.09,0.03,0.05,0.03,0
2018-06-22,2018-06-24,ICM/The Guardian,GB,2013,0.41,0.03,0.4,0.09,0.01,0.03,0.03,0
2018-06-19,2018-06-20,Survation/Good Morning Britain,UK,1022,0.41,0.03,0.38,0.07,0.01,0.04,0.03,0.03
2018-06-18,2018-06-19,YouGov/The Times,GB,1606,0.42,0,0.4,0.09,0.03,0.04,0.02,0
2018-06-11,2018-06-12,YouGov/The Times,GB,1638,0.42,0.01,0.39,0.08,0.03,0.04,0.02,0.01
2018-06-08,2018-06-10,ICM/The Guardian,GB,2021,0.42,0.03,0.4,0.08,0,0.03,0.03,0.01
2018-06-05,2018-06-08,BMG/The Independent,GB,1490,0.38,0.02,0.41,0.11,0,0.02,0.04,0.02
2018-06-05,2018-06-07,Opinium/The Observer,GB,2005,0.42,0.02,0.4,0.07,0.01,0.06,0.03,-0.01
2018-06-04,2018-06-05,YouGov/The Times,GB,1619,0.44,0,0.37,0.08,0.03,0.04,0.03,0.01
2018-05-31,2018-06-04,Survation,UK,2012,0.41,0.02,0.4,0.09,0.01,0.03,0.02,0.02
2018-05-30,2018-06-01,Deltapoll/The Sun on Sunday,GB,1013,0.41,0.02,0.41,0.06,0,0.04,0.05,0.01
2018-05-28,2018-05-29,YouGov/The Times,GB,1670,0.42,0.01,0.39,0.09,0.03,0.05,0.02,-0.01
2018-05-25,2018-05-29,ICM/The Guardian,GB,2002,0.43,0.02,0.4,0.08,0.01,0.03,0.03,0
2018-05-18,2018-05-22,Ipsos MORI,GB,1015,0.4,0.05,0.4,0.07,0,0.05,0.02,0.01
2018-05-20,2018-05-21,YouGov/The Times,GB,1660,0.42,0.01,0.38,0.09,0.02,0.04,0.03,0.01
2018-05-16,2018-05-17,"ComRes/We, The People",GB,2045,0.41,0.03,0.41,0.07,0.01,0.03,0.03,0.01
2018-05-15,2018-05-16,Opinium/The Observer,GB,2009,0.43,0.03,0.39,0.06,0.01,0.04,0.04,0
2018-05-13,2018-05-14,YouGov/The Times,GB,1634,0.43,0.01,0.38,0.09,0.03,0.03,0.03,0
2018-05-11,2018-05-13,ICM/The Guardian,GB,2050,0.43,0.03,0.4,0.08,0,0.03,0.03,0
2018-05-08,2018-05-10,Survation,UK,1585,0.41,0.02,0.4,0.08,0.01,0.03,0.03,0.02
2018-05-08,2018-05-09,YouGov/The Times,GB,1648,0.43,0.01,0.38,0.09,0.02,0.04,0.02,0.01
2018-05-01,2018-05-04,BMG/The Independent,GB,1441,0.39,0.03,0.39,0.1,0.01,0.04,0.04,0
2018-04-30,2018-05-01,YouGov/The Times,GB,1585,0.42,0.01,0.38,0.07,0.03,0.04,0.03,0.02
2018-04-27,2018-04-29,ComRes/Daily Express,GB,2030,0.4,0.03,0.4,0.09,0,0.03,0.05,0
2018-04-27,2018-04-29,ICM/The Guardian,GB,2026,0.42,0.03,0.39,0.08,0,0.03,0.04,0.01
2018-04-24,2018-04-25,YouGov/The Times,GB,1668,0.43,0,0.38,0.08,0.03,0.04,0.03,0.01
2018-04-20,2018-04-24,Ipsos MORI,GB,1004,0.41,0.02,0.4,0.1,0.01,0.03,0.02,0.01
2018-04-16,2018-04-17,YouGov/The Times,GB,1631,0.43,0.01,0.38,0.08,0.03,0.04,0.03,0
2018-04-14,2018-04-14,Survation/The Mail on Sunday,UK,2060,0.4,0.01,0.4,0.09,0.01,0.03,0.03,0.03
2018-04-11,2018-04-13,BMG,GB,1500,0.39,0.04,0.38,0.11,0,0.04,0.03,0.01
2018-04-11,2018-04-12,ComRes/Sunday Express,GB,2038,0.4,0.02,0.41,0.07,0.01,0.03,0.04,0.02
2018-04-10,2018-04-12,Opinium/The Observer,GB,2008,0.4,0.02,0.4,0.07,0.01,0.04,0.05,0.01
2018-04-09,2018-04-10,YouGov/The Times,GB,1639,0.4,0.01,0.4,0.09,0.04,0.04,0.02,0
2018-04-06,2018-04-08,ICM/The Guardian,GB,2012,0.42,0.03,0.41,0.07,0,0.03,0.04,0
2018-04-04,2018-04-05,YouGov/The Times,GB,1662,0.42,0.01,0.41,0.07,0.04,0.04,0.02,-0.01
2018-03-27,2018-04-05,Number Cruncher Politics,UK,1037,0.43,0.03,0.38,0.08,0.01,0.04,0.03,0
2018-03-26,2018-03-27,YouGov/The Times,GB,1659,0.43,0.01,0.39,0.08,0.03,0.03,0.02,0.01
2018-03-16,2018-03-18,ICM/The Guardian,GB,2013,0.44,0.02,0.41,0.08,0.01,0.03,0.01,0
2018-03-13,2018-03-16,BMG,GB,2065,0.38,0.03,0.4,0.1,0,0.04,0.04,0.01
2018-03-14,2018-03-15,YouGov/The Times,GB,1986,0.42,0.01,0.39,0.07,0.03,0.05,0.03,-0
2018-03-13,2018-03-15,Opinium/The Observer,GB,2001,0.42,0.03,0.4,0.06,0.01,0.04,0.04,0
2018-03-07,2018-03-08,Survation/GMB,UK,1038,0.37,0.02,0.44,0.09,0,0.03,0.03,0.02
2018-03-02,2018-03-07,Ipsos MORI,GB,1012,0.43,0.02,0.42,0.06,0.01,0.04,0.02,0
2018-03-05,2018-03-06,YouGov/The Times,GB,1641,0.41,0.01,0.43,0.07,0.02,0.04,0.02,0
2018-03-02,2018-03-04,ICM/The Guardian,GB,2030,0.43,0.03,0.42,0.07,0,0.03,0.02,0
2018-02-26,2018-02-27,YouGov/The Times,GB,1622,0.41,0.01,0.42,0.07,0.03,0.04,0.02,0
2018-02-19,2018-02-20,YouGov/The Times,GB,1650,0.4,0,0.42,0.08,0.04,0.04,0.02,0
2018-02-16,2018-02-19,ICM/The Guardian,GB,2027,0.42,0.02,0.43,0.07,0,0.03,0.03,0
2018-02-12,2018-02-13,YouGov/The Times,GB,1639,0.4,0.01,0.41,0.08,0.04,0.03,0.02,0.01
2018-02-06,2018-02-12,Kantar,GB,2448,0.39,0.02,0.39,0.08,0.01,0.04,0.04,0.03
2018-02-06,2018-02-09,BMG,GB,1507,0.4,0.04,0.4,0.08,0,0.02,0.05,0.01
2018-02-06,2018-02-08,Opinium/The Observer Archived 26 June 2019 at the Wayback Machine,GB,2002,0.42,0.02,0.39,0.07,0.01,0.04,0.05,-0
2018-02-05,2018-02-06,YouGov/The Times,GB,2000,0.43,0.01,0.39,0.08,0.03,0.03,0.03,0
2018-02-02,2018-02-04,ICM/The Guardian,GB,2021,0.41,0.03,0.4,0.08,0,0.03,0.04,0.01
