start_date,end_date,pollster_client,area,sample_size,brexit,change_uk,conservative,green,labour,liberal_democrat,plaid_cymru,scottish_national_party,ukip,other
2019-12-10,2019-12-11,Survation,GB,2395,0.03,NA,0.45,0.03,0.34,0.09,0.01,0.04,NA,0.01
2019-12-10,2019-12-11,Panelbase,GB,3174,0.04,NA,0.43,0.03,0.34,0.11,0,0.04,NA,0.01
2019-12-10,2019-12-11,Opinium,GB,3005,0.02,NA,0.45,0.02,0.33,0.12,0,0.04,NA,0.02
2019-12-09,2019-12-11,Ipsos MORI/Evening Standard,GB,2213,0.02,NA,0.44,0.03,0.33,0.12,NA,NA,NA,0.06
2019-12-09,2019-12-11,Deltapoll,GB,1818,0.04,NA,0.45,0.03,0.35,0.1,0,0.04,NA,-0.01
2019-12-09,2019-12-11,Kantar,GB,2815,0.03,NA,0.44,0.03,0.32,0.13,0,0.04,NA,0.01
2019-12-06,2019-12-11,BMG/The Independent,GB,1660,0.04,NA,0.41,0.03,0.32,0.14,NA,NA,NA,0.06
2019-12-09,2019-12-10,SavantaComRes/The Daily Telegraph,GB,2051,0.03,NA,0.41,0.02,0.36,0.12,NA,0.04,NA,0.02
2019-12-08,2019-12-10,Number Cruncher Politics/Bloomberg,GB,1009,0.03,NA,0.43,0.03,0.33,0.12,0.01,0.04,NA,0.01
2019-12-04,2019-12-10,YouGov (MRP),GB,105612,0.03,NA,0.43,0.03,0.34,0.12,0,0.03,NA,0.02
2019-11-27,2019-12-10,FocalData (MRP),GB,21213,0.03,NA,0.42,0.03,0.34,0.14,0.01,0.03,NA,0
2019-12-06,2019-12-09,ICM Research/Reuters,GB,2011,0.03,NA,0.42,0.02,0.36,0.12,0,0.03,0,0.02
2019-12-06,2019-12-08,SavantaComRes/Remain United[a],GB,6073,0.03,NA,0.43,0.02,0.36,0.12,0,0.04,NA,0
2019-12-05,2019-12-08,Qriously,UK,2222,0.03,NA,0.43,0.04,0.3,0.12,NA,0.02,NA,0.06
2019-12-05,2019-12-07,Survation/Good Morning Britain,UK,1012,0.04,NA,0.45,0.02,0.31,0.11,0.01,0.03,NA,0.03
2019-12-05,2019-12-07,Deltapoll/The Mail on Sunday,GB,1533,0.03,NA,0.44,0.02,0.33,0.11,0,0.04,0.01,0.02
2019-12-05,2019-12-06,YouGov/The Sunday Times,GB,1680,0.03,NA,0.43,0.03,0.33,0.13,0,0.04,NA,0.01
2019-12-04,2019-12-06,BMG/The Independent,GB,1542,0.04,0,0.41,0.04,0.32,0.14,0,0.03,0,0.02
2019-12-04,2019-12-06,Opinium/The Observer,GB,2002,0.03,NA,0.46,0.02,0.31,0.13,0,0.04,NA,0.01
2019-12-04,2019-12-06,Panelbase,GB,2033,0.03,NA,0.43,0.02,0.34,0.13,0.01,0.04,NA,0
2019-12-04,2019-12-05,SavantaComRes/The Sunday Telegraph,GB,2034,0.03,NA,0.41,0.02,0.33,0.12,NA,0.04,NA,0.05
2019-12-02,2019-12-05,SavantaComRes/Remain United[a],GB,2005,0.04,NA,0.42,0.02,0.36,0.11,NA,0.03,NA,0.02
2019-12-02,2019-12-04,Ipsos MORI/Evening Standard,GB,1545,0.02,NA,0.44,0.03,0.32,0.13,0.01,0.04,NA,0.01
2019-12-02,2019-12-03,SavantaComRes/The Daily Telegraph,GB,2041,0.03,NA,0.42,0.02,0.32,0.12,NA,0.04,NA,0.05
2019-12-02,2019-12-03,YouGov/The Times/Sky News,GB,1699,0.04,NA,0.42,0.04,0.33,0.12,0,0.05,NA,0
2019-11-29,2019-12-02,ICM Research,GB,2029,0.03,NA,0.42,0.02,0.35,0.13,0,0.03,NA,0.02
2019-11-28,2019-12-02,Kantar,GB,1096,0.02,NA,0.44,0.03,0.32,0.15,0.01,0.03,NA,0
2019-11-28,2019-11-30,Deltapoll/The Mail on Sunday,GB,1528,0.03,NA,0.45,0.01,0.32,0.15,0,0.03,0,0.01
2019-11-26,2019-11-30,Survation/Good Morning Britain,UK,1065,0.03,NA,0.42,0.04,0.33,0.11,0.01,0.03,NA,0.03
2019-11-28,2019-11-29,YouGov/The Sunday Times,GB,1680,0.02,NA,0.43,0.03,0.34,0.13,0,0.04,NA,0.01
2019-11-27,2019-11-29,Opinium/The Observer,GB,2018,0.02,NA,0.46,0.03,0.31,0.13,0,0.04,NA,0.01
2019-11-27,2019-11-29,BMG/The Independent,GB,1663,0.04,0,0.39,0.05,0.33,0.13,0,0.04,0,0.02
2019-11-27,2019-11-28,SavantaComRes/The Sunday Telegraph,GB,2025,0.04,NA,0.43,0.03,0.33,0.13,NA,0.03,NA,0.01
2019-11-27,2019-11-28,Panelbase,GB,2010,0.04,NA,0.42,0.03,0.34,0.13,0,0.03,NA,0.01
2019-11-25,2019-11-26,SavantaComRes/The Daily Telegraph,GB,2034,0.05,NA,0.41,0.02,0.34,0.13,NA,0.03,NA,0.02
2019-11-25,2019-11-26,YouGov/The Times/Sky News,GB,1678,0.04,NA,0.43,0.02,0.32,0.13,0,0.04,NA,0.02
2019-11-22,2019-11-25,ICM Research,GB,2004,0.04,NA,0.41,0.03,0.34,0.13,0.01,0.03,0,0.01
2019-11-21,2019-11-25,Kantar,GB,1097,0.03,NA,0.43,0.04,0.32,0.14,0,0.04,NA,0
2019-11-21,2019-11-23,Deltapoll/The Mail on Sunday,GB,1519,0.03,NA,0.43,0.03,0.3,0.16,0,0.04,NA,0.01
2019-11-20,2019-11-23,Survation/Good Morning Britain,UK,1010,0.05,NA,0.41,0.03,0.3,0.15,0.01,0.03,NA,0.02
2019-11-21,2019-11-22,YouGov/The Sunday Times,GB,1677,0.03,NA,0.42,0.04,0.3,0.16,0,0.04,NA,0.01
2019-11-20,2019-11-22,Opinium/The Observer,GB,2003,0.03,NA,0.47,0.03,0.28,0.12,0,0.05,NA,0.02
2019-11-20,2019-11-22,Panelbase,GB,2028,0.03,NA,0.42,0.03,0.32,0.14,0.01,0.03,NA,0.02
2019-11-20,2019-11-21,SavantaComRes/Sunday Express,GB,2038,0.05,NA,0.42,0.02,0.32,0.15,0,0.03,NA,0.01
2019-11-19,2019-11-21,BMG,GB,1663,0.03,NA,0.41,0.05,0.28,0.18,0,0.02,NA,0.03
2019-11-12,2019-11-20,YouGov,GB,11277,0.04,NA,0.43,0.03,0.29,0.15,0.01,0.04,NA,0.01
2019-11-18,2019-11-19,SavantaComRes/The Daily Telegraph,GB,1628,0.05,NA,0.42,0.02,0.31,0.15,0,0.04,NA,0.01
2019-11-18,2019-11-19,YouGov/The Times,GB,1606,0.04,NA,0.42,0.04,0.3,0.15,0,0.04,NA,0.01
2019-11-15,2019-11-19,Ipsos MORI/Evening Standard,GB,1128,0.03,NA,0.44,0.03,0.28,0.16,0.01,0.04,NA,0.01
2019-11-17,2019-11-18,YouGov,GB,1634,0.03,NA,0.43,0.03,0.29,0.15,0.01,0.04,NA,0.02
2019-11-15,2019-11-18,ICM Research,GB,2010,0.05,NA,0.42,0.03,0.32,0.13,0,0.03,NA,0.02
2019-11-14,2019-11-18,Kantar Archived 23 November 2019 at the Wayback Machine,GB,1176,0.02,NA,0.45,0.03,0.27,0.16,0.01,0.04,NA,0.02
2019-11-14,2019-11-16,Survation/Good Morning Britain,UK,1010,0.05,NA,0.42,0.03,0.28,0.13,0.01,0.03,NA,0.05
2019-11-14,2019-11-16,Deltapoll/The Mail on Sunday,GB,1526,0.06,0,0.45,0.02,0.3,0.11,0,0.03,0.02,0.01
2019-11-14,2019-11-15,YouGov/The Sunday Times,GB,1670,0.04,NA,0.45,0.03,0.28,0.15,0,0.04,NA,0.01
2019-11-13,2019-11-15,Opinium/The Observer,GB,2008,0.06,NA,0.44,0.03,0.28,0.14,0.01,0.04,NA,0
2019-11-12,2019-11-15,BMG/The Independent,GB,1506,0.09,NA,0.37,0.05,0.29,0.16,0,0.02,NA,0.02
