start_date,end_date,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform,other
2021-12-23,2021-12-30,Deltapoll,The Mail on Sunday,GB,1567,0.35,0.4,0.1,0.05,0.04,0.03,0.029999999999999916
2021-12-28,2021-12-28,Techne,NA,UK,NA,0.32,0.37,0.11,0.04,0.04,NA,0.12
2021-12-21,2021-12-23,Opinium,The Observer,UK,1216,0.32,0.39,0.11,0.05,0.06,NA,0.06999999999999995
2021-12-20,2021-12-21,Focaldata,NA,GB,1008,0.34,0.41,0.09,0.04,0.04,0.04,0.039999999999999925
2021-12-01,2021-12-21,Focaldata,The Times,GB,24373,0.32,0.4,0.1,0.03,0.07,0.06,0.020000000000000018
2021-12-20,2021-12-20,Redfield & Wilton,NA,GB,2000,0.31,0.39,0.13,0.05,0.06,0.05,0.009999999999999898
2021-12-19,2021-12-20,YouGov,The Times,GB,1790,0.3,0.36,0.12,0.06,0.08,0.05,0.030000000000000027
2021-12-17,2021-12-19,Savanta ComRes,NA,UK,2096,0.32,0.37,0.13,0.04,0.05,0.04,0.04999999999999993
2021-12-16,2021-12-16,Savanta ComRes,The Daily Express,UK,2139,0.34,0.38,0.1,0.05,0.04,0.04,0.04999999999999993
2021-12-14,2021-12-15,Find Out Now / Electoral Calculus,The Telegraph,GB,1017,0.3,0.38,0.1,0.02,0.1,0.07,0.030000000000000027
2021-12-14,2021-12-15,YouGov,The Times,GB,1714,0.32,0.37,0.1,0.05,0.07,0.06,0.030000000000000027
2021-12-13,2021-12-14,Survation,38 Degrees,UK,2039,0.34,0.4,0.08,0.05,0.04,0.02,0.06999999999999995
2021-12-13,2021-12-13,Redfield & Wilton,NA,GB,2000,0.32,0.37,0.11,0.04,0.07,0.07,0.020000000000000018
2021-12-09,2021-12-13,Kantar Public,NA,GB,1074,0.34,0.38,0.11,0.03,0.07,0.03,0.039999999999999925
2021-12-08,2021-12-13,YouGov,Fabian Society,GB,3380,0.31,0.38,0.08,0.05,0.08,0.06,0.040000000000000036
2021-12-10,2021-12-11,Survation,GMB,UK,1218,0.32,0.39,0.09,0.05,0.05,0.04,0.05999999999999994
2021-12-09,2021-12-10,YouGov,The Times,GB,1741,0.32,0.4,0.08,0.04,0.07,0.07,0.020000000000000018
2021-12-09,2021-12-10,Savanta ComRes,Daily Mail,UK,2118,0.33,0.39,0.09,0.05,0.04,0.04,0.05999999999999994
2021-12-08,2021-12-10,Opinium,The Observer,UK,2042,0.32,0.41,0.09,0.05,0.05,NA,0.07999999999999996
2021-12-03,2021-12-10,Ipsos MORI,Evening Standard,GB,1005,0.34,0.39,0.11,0.05,0.07,0.02,0.019999999999999907
2021-12-09,2021-12-09,Focaldata,Times Radio,GB,1001,0.33,0.41,0.07,0.05,0.06,0.06,0.019999999999999796
2021-12-08,2021-12-09,YouGov,The Times,GB,1686,0.33,0.37,0.09,0.05,0.07,0.06,0.030000000000000027
2021-12-08,2021-12-09,Survation,Daily Mirror,UK,1178,0.34,0.4,0.1,0.04,0.04,0.03,0.04999999999999993
2021-12-08,2021-12-08,Redfield & Wilton,NA,GB,1500,0.34,0.38,0.11,0.04,0.06,0.05,0.019999999999999907
2021-12-06,2021-12-06,Redfield & Wilton,NA,GB,2000,0.38,0.36,0.09,0.04,0.06,0.04,0.029999999999999916
2021-12-03,2021-12-05,Savanta ComRes,NA,UK,2232,0.38,0.37,0.09,0.04,0.05,0.02,0.04999999999999993
2021-12-02,2021-12-04,Deltapoll,NA,GB,1553,0.37,0.38,0.1,0.05,0.05,0.02,0.029999999999999916
2021-12-01,2021-12-02,YouGov,The Times,GB,1708,0.36,0.33,0.09,0.05,0.09,0.06,0.020000000000000018
2021-11-30,2021-12-01,Survation,NA,UK,1060,0.36,0.39,0.09,0.05,0.03,0.03,0.04999999999999993
2021-11-29,2021-12-01,Find Out Now,Daily Telegraph,GB,10272,0.36,0.35,0.11,0.05,0.08,0.03,0.019999999999999907
2021-11-29,2021-11-29,Redfield & Wilton,NA,GB,2000,0.38,0.36,0.1,0.04,0.06,0.04,0.019999999999999907
